"S1413-86702008000200002-scl","Congenital toxoplasmosis: public health policy concerns","Vanni, Tazio, Ribeiro, Rodrigo A., Varella, Ivana S., Polanczyk, Carisi A., Fonseca, Benedito A. L., Kuchenbecker, Ricardo","Brazilian Journal of Infectious Diseases; 12(2); 107-107","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000200002&lang=pt" 
"S1413-81232008000700028-spa","Rotulagem de suplementos vitamínicos e minerais: uma revisão das normas federais","Carvalho, Patrícia Borges de, Araújo, Wilma Maria Coelho","Ciência &amp; Saúde Coletiva; 13(); 779-791","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700028&lang=pt" 
"S1413-81232008000700028-scl","Rotulagem de suplementos vitamínicos e minerais: uma revisão das normas federais","Carvalho, Patrícia Borges de, Araújo, Wilma Maria Coelho","Ciência &amp; Saúde Coletiva; 13(); 779-791","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700028&lang=pt" 
"S0034-89102008000200011-scl","Intervenção religiosa na recuperação de dependentes de drogas","Sanchez, Zila van der Meer, Nappo, Solange Aparecida","Revista de Saúde Pública; 42(2); 265-272","Revista de Saúde Pública","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102008000200011&lang=pt" 
"S1699-65852008000100007-esp","Otras enfermedades periodontales: II: Lesiones endo-periodontales y condiciones y/o deformidades del desarrollo o adquiridas","Sanz-Sánchez, I., Bascones-Martínez, A.","Avances en Periodoncia e Implantología Oral; 20(1); 67-77","Avances en Periodoncia e Implantología Oral","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852008000100007&lang=pt" 
"S1699-65852008000100004-esp","Controversias etiológicas, diagnósticas y terapéuticas de la periodontitis agresiva","Discepoli, N, Bascones Martínez, A.","Avances en Periodoncia e Implantología Oral; 20(1); 39-47","Avances en Periodoncia e Implantología Oral","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852008000100004&lang=pt" 
"S1699-65852008000100003-esp","Revisión de la periodontitis crónica: Evolución y su aplicación clínica","Escudero-Castaño, N., Perea-García, M.A., Bascones-Martínez, A.","Avances en Periodoncia e Implantología Oral; 20(1); 27-37","Avances en Periodoncia e Implantología Oral","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852008000100003&lang=pt" 
"S1699-65852008000100005-esp","Formas agudas de periodontitis","Pérez-Salcedo, L., Bascones-Martínez, A.","Avances en Periodoncia e Implantología Oral; 20(1); 49-58","Avances en Periodoncia e Implantología Oral","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852008000100005&lang=pt" 
"S1699-65852008000100002-esp","Enfermedades gingivales: una revisión de la literatura","Matesanz-Pérez, P., Matos-Cruz, R., Bascones-Martínez, A.","Avances en Periodoncia e Implantología Oral; 20(1); 11-25","Avances en Periodoncia e Implantología Oral","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852008000100002&lang=pt" 
"S1699-65852008000100006-esp","Otras enfermedades periodontales: I: Periodontitis como manifestación de enfermedades sistémicas","Sanz-Sánchez, I., Bascones-Martínez, A.","Avances en Periodoncia e Implantología Oral; 20(1); 59-66","Avances en Periodoncia e Implantología Oral","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852008000100006&lang=pt" 
"S1516-35982008000400001-scl","Desempenho de populações de alfafa sob desfolhação","Favero, Daniela, Scheffer-Basso, Simone Meredith, Dall&#039;Agnol, Miguel, Seco, Daniquelen","Revista Brasileira de Zootecnia; 37(4); 589-595","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000400001&lang=pt" 
"S1516-35982008000400006-scl","Níveis de cálcio em dietas para poedeiras semipesadas após o pico de postura","Costa, Fernando Guilherme Perazzo, Oliveira, Cleber Franklin Santos de, Dourado, Leilane Rocha Barros, Lima Neto, Raul da Cunha, Campos, Miguel Ângelo da Silva Fernandes, Lima, Anny Graycy Vasconcelos de Oliveira","Revista Brasileira de Zootecnia; 37(4); 624-628","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000400006&lang=pt" 
"S1516-35982008000400011-scl","Comportamento ingestivo de ovinos Santa Inês alimentados com dietas contendo farelo de cacau","Carvalho, Gleidson Giordano Pinto de, Pires, Aureliano José Vieira, Silva, Robério Rodrigues, Ribeiro, Leandro Sampaio Oliveira, Chagas, Daiane Maria Trindade","Revista Brasileira de Zootecnia; 37(4); 660-665","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000400011&lang=pt" 
"S1516-35982008000400015-scl","Palma forrageira enriquecida com uréia em substituição ao feno de capim-tifton 85 em rações para vacas da raça Holandesa em lactação","Cavalcanti, Carmem Valéria de Araújo, Ferreira, Marcelo de Andrade, Carvalho, Mauriceia Costa, Véras, Antonia Sherlânea Chaves, Silva, Fabiana Maria da, Lima, Luiz Evandro de","Revista Brasileira de Zootecnia; 37(4); 689-693","Revista Brasileira de Zootecnia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982008000400015&lang=pt" 
"S1699-65852008000100001-esp","","","Avances en Periodoncia e Implantología Oral; 20(1); 09-09","Avances en Periodoncia e Implantología Oral","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852008000100001&lang=pt" 
