"S1516-05722016000100168-scl","Técnicas de conservação pós-colheita para o manjericão","TEIXEIRA, D.A., GOMES, J.A.O., BONFIM, F.P.G., PARDO, P.I., MAYOBRE, M.T.","Revista Brasileira de Plantas Medicinais; 18(1); 168-171","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100168&lang=pt" 
"S0103-73312016000100357-scl","A Era da Vitalidade: uma cartografia do presente","Speroni, Angela Vasconi","Physis: Revista de Saúde Coletiva; 26(1); 357-367","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100357&lang=pt" 
"S0103-73312016000100063-scl","O processo de construção da Fundação Estatal Saúde da Família da Bahia","Cavalcante Filho, João Batista, Franco, Túlio Batista","Physis: Revista de Saúde Coletiva; 26(1); 63-86","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100063&lang=pt" 
"S0103-73312016000100087-scl","Acesso aos cuidados primários de saúde: revisão integrativa","Rocha, Suelen Alves, Bocchi, Silvia Cristina Mangini, Godoy, Moacir Fernandes de","Physis: Revista de Saúde Coletiva; 26(1); 87-111","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100087&lang=pt" 
"S1413-65382016000100009-scl","Educação da Criança de Zero a Três Anos e Educação Especial: uma Leitura Crítica dos Documentos que Norteiam a Educação Básica1","VITTA, Fabiana Cristina Frigieri de, SILVA, Carla Cilene Baptista da, ZANIOLO, Leandro Osni","Revista Brasileira de Educação Especial; 22(1); 9-26","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100009&lang=pt" 
"S0103-73312016000100331-spa","Custo-efetividade do uso da tomografia de emissão de pósitrons na detecção de recorrência do câncer diferenciado de tireoide","Caetano, Rosângela, Biz, Aline Navega, Schluckebier, Luciene Fontes, Silva, Rondineli Mendes da, Braga, José Ueleres, Bastos, Cláudia Regina Garcia","Physis: Revista de Saúde Coletiva; 26(1); 331-356","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100331&lang=pt" 
"S2237-93632016000100034-scl","Quality of life in stomized oncological patients: an approach of integrality from Brazilian Unified Health System","Kimura, Cristilene Akiko, Kamada, Ivone, Guilhem, Dirce Bellezi","Journal of Coloproctology (Rio de Janeiro); 36(1); 34-39","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100034&lang=pt" 
"S0103-73312016000100289-spa","Aplicação da Análise Envoltória de Dados para avaliar a eficiência de hospitais do SUS em Mato Grosso","Souza, Paulo Cesar de, Scatena, João Henrique G., Kehrig, Ruth Terezinha","Physis: Revista de Saúde Coletiva; 26(1); 289-308","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100289&lang=pt" 
"S1413-65382016000100111-scl","Educação Física Escolar: Percepções do Aluno com Deficiência1","NACIF, Marcella Fernandes Paticcié, FIGUEIREDO, Diogo Hilgemberg, NEVES, Clara Mockdece, MEIRELES, Juliana Fernandes Filgueiras, FIGUEIREDO, Diego Hilgemberg, PEDRETTI, Augusto, PEDRETTI, Alessandro, FERREIRA, Maria Elisa Caputo","Revista Brasileira de Educação Especial; 22(1); 111-124","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100111&lang=pt" 
"S2237-93632016000100021-scl","Microscopic analysis of patients with chronic diarrhea without macroscopic disease","Silva, Ary Santos, Lima, Doryane Maria dos Reis","Journal of Coloproctology (Rio de Janeiro); 36(1); 21-26","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100021&lang=pt" 
"S0103-73312016000100011-scl","Zika and Microcephaly: can we learn from history?","Löwy, Ilana","Physis: Revista de Saúde Coletiva; 26(1); 11-21","Physis: Revista de Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100011&lang=pt" 
"S0103-73312016000100045-scl","Percurso do idoso em redes de atenção à saúde: um elo a ser construído","Santos, Carla Targino Bruno dos, Andrade, Luiz Odorico Monteiro de, Silva, Maria Josefina, Sousa, Maria Fátima de","Physis: Revista de Saúde Coletiva; 26(1); 45-62","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100045&lang=pt" 
"S0103-73312016000100309-scl","A percepção dos idosos sobre o saber biomédico no cuidado à velhice e às &quot;coisas da idade&quot;","Moraes, Gustavo Vaz de Oliveira, Giacomin, Karla, Santos, Wagner Jorge, Firmo, Josélia Oliveira Araujo","Physis: Revista de Saúde Coletiva; 26(1); 309-329","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100309&lang=pt" 
"S0103-73312016000100113-scl","Atenção integral à hipertensão arterial e diabetes mellitus: implementação da Linha de Cuidado em uma Região de Saúde do estado de São Paulo, Brasil","Venancio, Sonia Isoyama, Rosa, Tereza Etsuko da Costa, Bersusa, Ana Aparecida Sanches","Physis: Revista de Saúde Coletiva; 26(1); 113-135","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100113&lang=pt" 
"S0103-73312016000100025-spa","Uma cura controversa: a promessa biomédica para a hanseníase em Portugal e no Brasil","Cruz, Alice","Physis: Revista de Saúde Coletiva; 26(1); 25-44","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100025&lang=pt" 
"S0103-73312016000100225-scl","Educação Alimentar e Nutricional como prática de intervenção: reflexão e possibilidades de fortalecimento","Cervato-Mancuso, Ana Maria, Vincha, Kellem Regina Rosendo, Santiago, Débora Aparecida","Physis: Revista de Saúde Coletiva; 26(1); 225-249","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100225&lang=pt" 
"S2237-93632016000100004-scl","Neoadjuvant radiotherapy in stage I cancer of the lower rectum","Reis Neto, José Alfredo dos, Reis Junior, José Alfredo dos, Kagohara, Odorino Hideyoshi, Simões Neto, Joaquim, Banci, Sergio Oliva, Oliveira, Luciane Hiane, Espinoza, Gustavo Alejandro Gutierrez, Alves Júnior, Antonio José Tiburcio","Journal of Coloproctology (Rio de Janeiro); 36(1); 4-7","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100004&lang=pt" 
"S2237-93632016000100053-scl","A review of experimental models in colorectal carcinogenesis","Machado, Vanessa Foresto, Feitosa, Marley Ribeiro, Rocha, Jose Joaquim Ribeiro da, Féres, Omar","Journal of Coloproctology (Rio de Janeiro); 36(1); 53-57","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100053&lang=pt" 
"S0103-73312016000100177-spa","La emergencia del cerebro en el espacio público: las noticias periodísticas sobre las neurociencias y el cerebro en la prensa gráfica en Argentina (2000-2012)","Mantilla, María Jimena, Marco, Martín Hernán Di","Physis: Revista de Saúde Coletiva; 26(1); 177-200","Physis: Revista de Saúde Coletiva","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100177&lang=pt" 
"S1413-65382016000100039-scl","A Eficácia de um Programa de Treino de Trampolins na Proficiência Motora de Crianças com Transtorno do Espectro do Autismo1","LOURENÇO, Carla Cristina Vieira, ESTEVES, Maria Dulce Leal, CORREDEIRA, Rui Manuel Nunes, TEIXEIRA E SEABRA, André Filipe","Revista Brasileira de Educação Especial; 22(1); 39-48","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100039&lang=pt" 
"S0103-73312016000100157-scl","Sentidos da participação social na saúde para lideranças comunitárias e profissionais da Estratégia Saúde da Família do território de Vila União, em Sobral-CE","Lima, Fabiana Araújo, Galimbertti, Percy Antonio","Physis: Revista de Saúde Coletiva; 26(1); 157-175","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100157&lang=pt" 
"S1413-65382016000100049-scl","Dificuldades e Sucessos de Professores de Educação Física em Relação à Inclusão Escolar","FIORINI, Maria Luiza Salzani, MANZINI, Eduardo José","Revista Brasileira de Educação Especial; 22(1); 49-64","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100049&lang=pt" 
