"S1414-32832011000400014-spa","Formação do psicólogo para a saúde mental: a psicologia piauiense em análise","Macedo, João Paulo, Dimenstein, Magda","Interface - Comunicação, Saúde, Educação; 15(39); 1145-1158","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400014&lang=pt" 
"S0864-02892011000400012-cub","Resúmenes de la Jornada Científica por el Día Internacional de la Drepanocitosis (sicklemia) y en saludo al 150 aniversario de la Academia de Ciencias de Cuba y al Año Internacional de los Afrodescendientes","","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 457-467","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400012&lang=pt" 
"S0104-66322011000400009-scl","Flooding characteristics in pulsed packed extraction columns","Asadollahzadeh, M., Haghighi-Asl, A., Safdari, J., Torab-Mostaedi, M.","Brazilian Journal of Chemical Engineering; 28(4); 639-648","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400009&lang=pt" 
"S0104-66322011000400010-scl","Mesoporous molecular sieve MCM-41 synthesis from fluoride media","Bastos, F. S., Lima, O. A., Raymundo Filho, C., Fernandes, L. D.","Brazilian Journal of Chemical Engineering; 28(4); 649-658","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400010&lang=pt" 
"S0104-66322011000400014-scl","Energetic and economic evaluation of waste glycerol cogeneration in Brazil","Albarelli, J. Q., Santos, D. T., Holanda, M. R.","Brazilian Journal of Chemical Engineering; 28(4); 691-698","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400014&lang=pt" 
"S1025-028X2011000300002-cub","Lactancia materna y respuesta humoral contra vacunas de toxoide tetánico y diftérico en niños de 2 años","La Rosa, Deyanira, Montesino, Soamy, Bezos, Lenia, Gómez, Enrique, Valmaseda, Tania, Alerm, Alina, Ochoa, Rolando","Vaccimonitor; 20(3); 9-13","Vaccimonitor","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2011000300002&lang=pt" 
"S1025-028X2011000300001-cub","A single dose of live-attenuated 638 Vibrio cholerae oral vaccine is safe and immunogenic in adult volunteers in Mozambique","García, Hilda María, Thompson, Ricardo, Valera, Rodrigo, Fando, Rafael, Fumane, João, Jani, Ilesh, Mirabal, Mayelín, Armesto, Marlene Isabel, Songane, Mario, Luis, Sonia, Nzualo, Ana María, Celeste, Judite, Viegas, Sofía, Samo Gudo, Eduardo, Melembe, Amélia, Bila, Dulce, Cemá, Cynthia, Mabumo, Carolina, García, Luis, Cedré, Bárbara, Año, Gemma, Martínez, Juan Carlos, Mandarioti, Aleyda, Lugones, Juan, González, Domingo, Baró, Morelia, Hernández, Jonathan, Talavera, Arturo, Solis, Rosa Lidia, Sierra, Gustavo, Barberá, Ramón, Domínguez, Francisco, Gutiérrez, Carlos, Campa, Concepción, Garrido, Ivo, Menéndez, Jorge","Vaccimonitor; 20(3); 1-8","Vaccimonitor","Inglês","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2011000300001&lang=pt" 
"S1025-028X2011000300007-cub","Meeting Report Immunopharmacology 2011. June 26-30, 2011. Varadero, Cuba","Landys Chovel Cuervo, Mario","Vaccimonitor; 20(3); 40-42","Vaccimonitor","Inglês","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2011000300007&lang=pt" 
"S1025-028X2011000300006-cub","Aspectos relevantes del uso de Mycobacterium´habana´ como candidato vacunal contra la tuberculosis","Valdés, Iliana, Echemendía, Miguel, Mederos, Lilian, Valdivia, José A, Montoro, Ernesto","Vaccimonitor; 20(3); 34-39","Vaccimonitor","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2011000300006&lang=pt" 
"S1025-028X2011000300005-cub","Determinación de residuos de deoxicolato de sodio en formulaciones vacunales por cromatografía electrocinética micelar","Merchán, Yaima, Lucangioli, Silvia, Carducci, Clyde, Fajardo, Esther María, Rico, Jeannete, Tamayo, Yolexis, Delgado, Ileana","Vaccimonitor; 20(3); 27-33","Vaccimonitor","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2011000300005&lang=pt" 
"S1025-028X2011000300004-cub","Comparación entre dos biomodelos murinos en el ensayo de la morfología de la cabeza del espermatozoide","Arencibia, Daniel Francisco, Rosario, Luis Alfredo, Suárez, Yolanda Emilia, Delgado, Livan","Vaccimonitor; 20(3); 21-26","Vaccimonitor","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2011000300004&lang=pt" 
"S1025-028X2011000300003-cub","Influencia de las vías de inmunización mucosales sobre la protección contra herpes simple tipo 2 con el AFCo1 como adyuvante","Cabrera, Osmir, Cuello, Maribel, Thörn, Karolina, Lindqvist, Madelene, Lastre, Miriam, González, Elizabeth, Zayas, Caridad, Balboa, Julio, Romeo, Belkis, Sarandi, Ali M, Pérez, Oliver","Vaccimonitor; 20(3); 14-20","Vaccimonitor","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2011000300003&lang=pt" 
"S1980-00372011000600001-scl","Efeito de uma sessão de exercício resistido na sensibilidade cutânea em idosas hipertensas e normotensas fisicamente ativas","Ceccato, Marilia, Ferreira, Sandra Aires, Jambassi Filho, José Claudio, Gurjão, André Luiz Demantova, Gallo, Luiza Herminia, Prado, Alexandre Konig Garcia, Gobbi, Sebastião","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 409-414","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600001&lang=pt" 
"S1980-00372011000600002-scl","Análise vetorial de bioimpedância e estado nutricional de idosas de acordo com o índice de massa corporal","Ribeiro, Sandra Maria Lima, Miyamoto, Marcia Val, Melo, Camila Maria de, Kehayias, Joseph","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 415-421","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600002&lang=pt" 
"S1980-00372011000600003-scl","Barreiras percebidas e hábitos de atividade física de adolescentes escolares de uma cidade do sul do Brasil","Dambros, Daniela Dressler, Lopes, Luis Felipe Dias, Santos, Daniela Lopes dos","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 422-428","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600003&lang=pt" 
"S1980-00372011000600004-scl","Análise da força isométrica máxima e do sinal de EMG em exercícios para os membros inferiores","Correa, Cleiton Silva, Silva, Bruna Gonçalves Cordeiro da, Alberton, Cristine Lima, Wilhelm, Eurico Nestor, Moraes, Antonio Carlos de, Lima, Cláudia Silveira, Pinto, Ronei Silveira","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 429-435","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600004&lang=pt" 
"S1980-00372011000600005-scl","Efeitos da alteração na posição do selim da bicicleta sobre a corrida subsequente","Baltazar, Rodrigo, Andrade, Mariana Borges de, Caputo, Fabrizio","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 436-441","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600005&lang=pt" 
"S1980-00372011000600006-scl","Diabetes mellitus auto-referido e sua associação com excesso de peso em idosos","Pelegrini, Andreia, Silva Coqueiro, Raildo da, Petroski, Edio Luiz, Benedetti, Tania R. Bertoldo","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 442-447","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600006&lang=pt" 
"S1980-00372011000600007-scl","Alterações posturais em crianças e adolescentes obesos e não-obesos","Silva, Larissa Rosa da, Felix Rodacki, André Luiz, Brandalize, Michelle, Lopes, Maria de Fatima Aguiar, Bento, Paulo Cesar Baraucce, Leite, Neiva","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 448-454","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600007&lang=pt" 
"S1980-00372011000600008-scl","Validação do teste de flexibilidade da AAHPERD para idosos Brasileiros","Petreça, Daniel Rogério, Benedetti, Tânia R. Bertoldo, Silva, Diego Augusto Santos","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 455-460","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600008&lang=pt" 
"S1980-00372011000600009-scl","Validação de equações preditivas da área de secção transversa do tronco","Morais, Jorge Estrela, Costa, Mário Jorge, Mejias, Jean Erik, Marinho, Daniel Almeida, Silva, António José, Barbosa, Tiago Manuel","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 461-467","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600009&lang=pt" 
"S1980-00372011000600012-scl","Gasto energético, custo energético aeróbio e custo energético anaeróbio","Reis, Victor Machado","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 13(6); 484-487","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372011000600012&lang=pt" 
