"S0188-49992016000100035-mex","Análisis costo-beneficio de la calefacción distrital en la zona central de Chile","Carrasco Vidal, Rudy, Jiménez del Río, Jorge, Mardones Poblete, Cristian","Revista internacional de contaminación ambiental; 32(1); 35-45","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100035&lang=pt" 
"S2225-20102016000100001-sza","Performance of the Cellslide® automated liquid-based cytology system amongst HIV-positive women","Michelow, Pamela, Sherrin, Amanda, Rossouw, Louise, Mohaleamolla, Samson, Evans, Denise, Swarts, Avril, Rakhombe, Ntombiyenkosi, Smith, Jennifer S, Firnhaber, Cynthia","African Journal of Laboratory Medicine; 5(1); 1-6","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100001&lang=pt" 
"S2225-20102016000100016-sza","Whole blood pathogen reduction technology and blood safety in sub-Saharan Africa: A systematic review with regional discussion","Nkohkwo, Asa&#039;ah, Agbor, Gabriel, Asongalem, Emmanuel, Tagny, Claude, Asonganyi, Tazoacha","African Journal of Laboratory Medicine; 5(1); 1-9","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100016&lang=pt" 
"S2225-20102016000100002-sza","Increased utilisation of PEPFAR-supported laboratory services by non-HIV patients in Tanzania","McNairy, Margaret L., Gwynn, Charon, Rabkin, Miriam, Antelman, Gretchen, Wu, Yingfeng, Alemayehu, Bereket, Lim, Travis, Imtiaz, Rubina, Mosha, Fausta, Mwasekaga, Michael, Othman, Asha A., Justman, Jessica","African Journal of Laboratory Medicine; 5(1); 1-7","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100002&lang=pt" 
"S2225-20102016000100005-sza","Implications of the introduction of laboratory demand management at primary care clinics in South Africa on laboratory expenditure","Mahomed, Ozayr H., Lekalakala, Ruth, Asmall, Shaidah, Cassim, Naseem","African Journal of Laboratory Medicine; 5(1); 1-6","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100005&lang=pt" 
"S2225-20102016000100018-sza","Performance of Kalon herpes simplex virus 2 assay using dried blood spots among young women in Uganda","Nsobya, Sam L., Hewett, Paul C., Kalibala, Sam, Mensch, Barbara S.","African Journal of Laboratory Medicine; 5(1); 1-4","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100018&lang=pt" 
"S2225-20102016000100012-sza","Evaluation of the BioFire® FilmArray® Blood Culture Identification Panel on positive blood cultures in a regional hospital laboratory in KwaZulu-Natal","Fhooblall, Mokshanand, Nkwanyana, Fikile, Mlisana, Koleka P.","African Journal of Laboratory Medicine; 5(1); 1-8","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100012&lang=pt" 
"S2317-64312016000100501-scl","Biofeedback eletromiográfico no tratamento das disfunções orofaciais neurogênicas: revisão sistemática de literatura","Freitas, Gabriela Silva de, Mituuti, Claudia Tiemi, Furkim, Ana Maria, Busanello-Stella, Angela Ruviaro, Stefani, Fabiane Miron, Arone, Marcela Maria Alves da Silva, Berretin-Felix, Giédre","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100501&lang=pt" 
"S2317-64312016000100326-scl","Autopercepção das dificuldades de aprendizagem de estudantes do ensino fundamental","Moreira, Bárbara Bruna Godinho, Martins-Reis, Vanessa de Oliveira, Santos, Juliana Nunes","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100326&lang=pt" 
"S2317-64312016000100315-scl","Processamento auditivo central: implicações para o processo tradutório do Português para a Língua Brasileira de Sinais","Costa, Mariana de Oliveira, Sacaloski, Marisa, Tedesco, Maria Lucy Fraga","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100315&lang=pt" 
"S2317-64312016000100321-scl","Teste melódico de processamento temporal: análise de diferentes formas de respostas","Betti, Tainá, Bruno, Rubia Soares, Oppitz, Sheila Jacques, Bruckmann, Mirtes, Garcia, Michele Vargas","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100321&lang=pt" 
"S2317-64312016000100312-scl","Comparação dos efeitos do finger kazoo e da fonação em tubo em mulheres com voz normal","Cielo, Carla Aparecida, Lima, Joziane Padilha de Moraes, Christmann, Mara Keli","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100312&lang=pt" 
"S2317-64312016000100322-scl","Audição e linguagem em crianças nascidas a termo e pré-termo","Costa, Lidiéli Dalla, Quinto, Stella Medianeira Soares, Didoné, Dayane Domeneghini, Rechia, Inaê Costa, Garcia, Michele Vargas, Biaggio, Eliara Pinto Vieira","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100322&lang=pt" 
"S2317-64312016000100323-scl","Audição e qualidade de vida de músicos de uma orquestra sinfônica brasileira","Lüders, Débora, Gonçalves, Cláudia Giglio de Oliveira, Lacerda, Adriana Bender Moreira de, Schettini, Sônia Regina Lazarotto, Silva, Luciana Santos Gerosino da, Albizu, Evelyn Joyce, Marques, Jair Mendes","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100323&lang=pt" 
"S2317-64312016000100313-scl","Força de mordida em respiradores bucais","Yosetake, Francine Fernandes Correia, Grechi, Tais Helena, Trawitzki, Luciana Vitaliano Voi, Lima, Wilma Terezinha Anselmo","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100313&lang=pt" 
"S2317-64312016000100314-scl","Caracterização de acidente vascular cerebral com enfoque em distúrbios da comunicação oral em pacientes de um hospital regional","Goulart, Bárbara Niegia Garcia de, Almeida, Carlos Podalirio Borges de, Silva, Mariana Wolf da, Oenning, Nágila Soares Xavier, Lagni, Verlaine Balzan","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100314&lang=pt" 
"S2317-64312016000100325-scl","Influência da cognição em habilidades auditivas de idosos pré e pós-adaptação de próteses auditivas","Lessa, Alexandre Hundertmarck, Costa, Maristela Julio","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100325&lang=pt" 
"S2317-64312016000100318-scl","Inteligibilidade de fala após palatoplastia primária: percepção do ouvinte","Andreoli, Mariana Lopes, Yamashita, Renata Paciello, Trindade-Suedam, Ivy Kiemle, Fukushiro, Ana Paula","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100318&lang=pt" 
"S2317-64312016000100320-scl","Relação entre prontidão para início da alimentação oral e desempenho alimentar em recém-nascidos pré-termo","Prade, Leila Sauer, Bolzan, Geovana de Paula, Berwig, Luana Cristina, Yamamoto, Raquel Coube de Carvalho, Vargas, Camila Lehnhart, Silva, Ana Maria Toniolo da, Weinmann, Angela Regina Maciel","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100320&lang=pt" 
"S2317-64312016000100317-scl","Avaliação da percepção de fala em usuários de próteses auditivas após ajuste fino via mapeamento de fala com estímulo em Português","Tonelini, Carla Fonseca Moraes, Garolla, Luciana Paula, Iório, Maria Cecília Martinelli","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100317&lang=pt" 
"S2317-64312016000100324-scl","Perda auditiva unilateral em crianças: avaliação fonológica e do vocabulário","Pupo, Altair Cadrobbi, Esturaro, Giovana Targino, Barzaghi, Luisa, Trenche, Maria Cecília Bonini","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100324&lang=pt" 
"S2317-64312016000100319-scl","Estudo da associação entre doenças crônicas naturais do envelhecimento e alterações da deglutição referidas por idosos da comunidade","Mourão, Lucia Figueiredo, Xavier, Danielle Akemi Neves, Neri, Anita Liberalesso, Luchesi, Karen Fontes","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100319&lang=pt" 
