"S0100-204X2014000900665-scl","Biologia e tabela de vida de fertilidade do pulgão-preto em cultivares de videira","Baronio, Cléber Antonio, Andzeiewski, Simone, Cunha, Uemerson Silva da, Botton, Marcos","Pesquisa Agropecuária Brasileira; 49(9); 665-672","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900665&lang=pt" 
"S1809-48642014000300316-scl","Gout of the Temporomandibular Joint: Report of a Case","Oliveira, Isaac Nilton Fernandes, Gomes, Renata Caroline Ferreira, Santos, Raiane Rodrigues dos, Oliveira, Thiago de Paula, Pereira, Larissa Loiuse Cândida, Mainenti, Pietro","International Archives of Otorhinolaryngology; 18(3); 316-318","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300316&lang=pt" 
"S1809-48642014000300311-scl","Prevalence of Microorganisms and Immunoglobulins in Children with Tonsillar Hypertrophy and Adenoiditis","Miramontes, Henrique Prestes, Fagundes, Djalma José, Jurgielewicz, Julia Coelho Lima e, Miramontes Neto, Haroldo Prestes, Oliveira, Renan Gianotto de, Oliveira, Gustavo Gianotto de, Souza, Maria Rosa Machado de","International Archives of Otorhinolaryngology; 18(3); 311-315","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300311&lang=pt" 
"S1809-48642014000300319-scl","Sudden Hemianopsia Secondary to Ethmoid Sinus Mucocele","Morganti, Ligia, Evangelista, Leandro, Guimaraes, Roberto, Crosara, Paulo","International Archives of Otorhinolaryngology; 18(3); 319-321","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300319&lang=pt" 
"S1809-48642014000300227-scl","The Etiology of Möbius Syndrome: A Social Problem?","Jotz, Geraldo Pereira, Schwarz, Karine","International Archives of Otorhinolaryngology; 18(3); 227-228","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300227&lang=pt" 
"S1809-48642014000300239-scl","Möbius Syndrome: Misoprostol Use and Speech and Language Characteristics","Guedes, Zelita Caldeira Ferreira","International Archives of Otorhinolaryngology; 18(3); 239-243","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300239&lang=pt" 
"S1809-48642014000300332-scl","Sphenoid Sinus Inverted Papilloma: A Case Report and Literature Review","Rabelo, Gustavo Figueiredo Nunes, Freitas, Vinícius Antunes, Santos, Bruno Hollanda, Ferreira, Diego Costa de Souza, Magalhães, Ana Elisa Mota Silveira, Castro, Mírian Cabral Moreira de","International Archives of Otorhinolaryngology; 18(3); 332-335","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300332&lang=pt" 
"S1809-48642014000300322-scl","Intracochlear Schwannoma: Diagnosis and Management","Bittencourt, Aline Gomes, Alves, Ricardo Dourado, Ikari, Liliane Satomi, Burke, Patrick Rademaker, Gebrim, Eloisa Maria Santiago, Bento, Ricardo Ferreira","International Archives of Otorhinolaryngology; 18(3); 322-324","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300322&lang=pt" 
"S1809-48642014000300328-scl","Pleomorphic Adenoma of the Tongue Base: Case Report and Review","Nascimento, Luiz Augusto, Vilela, Thais Gonçalves Pinheiro","International Archives of Otorhinolaryngology; 18(3); 328-331","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300328&lang=pt" 
"S1809-48642014000300325-scl","Giant Fibrovascular Polyp of the Larynx","Nascimento, Silva Bona do, Santos, Flávio Carvalho, Pinheiro, Mariana de Novaes Santos Magalhães","International Archives of Otorhinolaryngology; 18(3); 325-327","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300325&lang=pt" 
"S1809-48642014000300260-scl","Primary Extranodal Non-Hodgkin Lymphoma of the Head and Neck in Patients with Acquired Immunodeficiency Syndrome: A Clinicopathologic Study of 24 Patients in a Single Hospital of Infectious Diseases in Argentina","Corti, Marcelo, Villafañe, María, Bistmans, Alicia, Narbaitz, Marina, Gilardi, Leonardo","International Archives of Otorhinolaryngology; 18(3); 260-265","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300260&lang=pt" 
"S1809-48642014000300244-scl","Program to Diagnose Probability of Aspiration Pneumonia in Patients with Ischemic Stroke","Pinto, Gisele, Zétola, Viviane, Lange, Marcos, Gomes, Guilherme, Nunes, Maria Cristina, Hirata, Gisela, Lagos-Guimarães, Hellen Nataly","International Archives of Otorhinolaryngology; 18(3); 244-248","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300244&lang=pt" 
"S1809-48642014000300283-scl","Treatment Model in Children with Speech Disorders and Its Therapeutic Efficiency","Barberena, Luciana, Keske-Soares, Márcia, Cervi, Taís, Brandão, Mariane","International Archives of Otorhinolaryngology; 18(3); 283-288","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300283&lang=pt" 
"S1809-48642014000300229-scl","Level of User Satisfaction with Hearing Aids and Environment: The International Outcome Inventory for Hearing Aids","Kozlowski, Lorena, Almeida, Gleide, Ribas, Angela","International Archives of Otorhinolaryngology; 18(3); 229-234","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300229&lang=pt" 
"S1809-48642014000300303-scl","Implantable and Semi-Implantable Hearing Aids: A Review of History, Indications, and Surgery","Bittencourt, Aline Gomes, Burke, Patrick Rademaker, Jardim, Isabela de Souza, Brito, Rubens de, Tsuji, Robinson Koji, Fonseca, Anna Carolina de Oliveira, Bento, Ricardo Ferreira","International Archives of Otorhinolaryngology; 18(3); 303-310","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300303&lang=pt" 
