"S2007-11322010000100002-mex","La verdadera cosecha maderable en México","Caballero Deloya, Miguel","Revista mexicana de ciencias forestales; 1(1); 6-16","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100002&lang=pt" 
"S0718-34022010000100003-chl","Evaluación de la pérdida de suelo, asociada al proceso de expansión urbana y reconversión productiva: Caso: comunas de Los Andes, Quillota y Concón, valle del Aconcagua","Castro Correa, Carmen Paz, Aliaga, Cristóbal","Revista de geografía Norte Grande; (45); 41-49","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100003&lang=pt" 
"S0718-34022010000100004-chl","Dinámicas energéticas e integración regional en el noroeste argentino y el sur boliviano","Carrizo, Silvina Cecilia, Ramousse, Didier","Revista de geografía Norte Grande; (45); 51-62","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100004&lang=pt" 
"S0718-34022010000100005-chl","Un mar de soja: la nueva agricultura en Argentina y sus consecuencias","Reboratti, Carlos","Revista de geografía Norte Grande; (45); 63-76","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100005&lang=pt" 
"S0718-34022010000100006-chl","Estimación de un índice de calidad ambiental urbano, a partir de imágenes de satélite","Santana Rodríguez, Luis Marino, Escobar Jaramillo, Luis Alfonso, Capote, Paolo Andrés","Revista de geografía Norte Grande; (45); 77-95","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100006&lang=pt" 
"S0718-34022010000100007-chl","Comparación entre índices de calidad de vida: La población rural del partido de General Pueyrredón, 2001-2007","Mikkelsen, Claudia, Velázquez, Guillermo","Revista de geografía Norte Grande; (45); 97-118","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100007&lang=pt" 
"S0718-34022010000100008-chl","La transformación de los mercados laborales: el teletrabajo y sus alcances para el caso de Santiago, Chile","Rubio González, Ricardo","Revista de geografía Norte Grande; (45); 119-134","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100008&lang=pt" 
"S0718-34022010000100009-chl","Gabriel Guarda. Cuatro siglos de evolución urbana. Valdivia 1552-1910","Paulsen E, Alex","Revista de geografía Norte Grande; (45); 135-138","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100009&lang=pt" 
"S0718-34022010000100010-chl","Alain Musset. ¿Geohistoria o geoficción? Ciudades vulnerables y justicia espacial","Aliste Almuna, Enrique","Revista de geografía Norte Grande; (45); 139-143","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100010&lang=pt" 
"S0718-34022010000100011-chl","Mike Davis. Los holocaustos de la era victoriana tardía","Paulsen, Abraham","Revista de geografía Norte Grande; (45); 145-148","Revista de geografía Norte Grande","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34022010000100011&lang=pt" 
"S1519-69842010000200004-scl","Effects of fishing technique on assessing species composition in aquatic systems in semi-arid Brazil","Medeiros, ESF, Silva, MJ, Figueiredo, BRS, Ramos, TPA, Ramos, RTC","Brazilian Journal of Biology; 70(2); 255-262","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200004&lang=pt" 
"S1519-69842010000200005-scl","How many studies are necessary to compare niche-based models for geographic distributions? Inductive reasoning may fail at the end","Terribile, LC, Diniz-Filho, JAF, De Marco Jr., P","Brazilian Journal of Biology; 70(2); 263-269","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200005&lang=pt" 
"S1519-69842010000200006-scl","Spatial patterns of a tropical tree species growing under an eucalyptus plantation in South-East Brazil","Higuchi, P., Silva, AC, Louzada, JNC, Machado, ELM","Brazilian Journal of Biology; 70(2); 271-277","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200006&lang=pt" 
"S1519-69842010000200011-scl","Coliform accumulation in Amphibalanus amphitrite (Darwin, 1854) (Cirripedia) and its use as an organic pollution bioindicator in the estuarine area of Recife, Pernambuco, Brazil","Farrapeira, CMR, Mendes, ES, Dourado, J., Guimarães, J","Brazilian Journal of Biology; 70(2); 301-309","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200011&lang=pt" 
"S1519-69842010000200020-scl","Aucula magnifica (Schaus, 1904) (Lepidoptera: Noctuidae: Agaristinae): morphology of egg and last instar larvae","Poletto, G., Benedetti, AJ., Barros, NM, Vargas, LRB, Specht, A","Brazilian Journal of Biology; 70(2); 373-380","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200020&lang=pt" 
"S1519-69842010000200022-scl","Transformation of coffee (Coffea Arabica L. cv. Catimor) with the cry1ac gene by biolistic, without the use of markers","De Guglielmo-Cróquer, Z, Altosaar, I., Zaidi, M., Menéndez-Yuffá, A.","Brazilian Journal of Biology; 70(2); 387-393","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200022&lang=pt" 
"S1519-69842010000200023-scl","Seasonal variation of soluble carbohydrates and starch in Echinolaena inflexa, a native grass species from the Brazilian savanna, and in the invasive grass Melinis minutiflora","Souza, A., Sandrin, CZ., Calió, MFA., Meirelles, ST., Pivello, VR., Figueiredo-Ribeiro, RCL.","Brazilian Journal of Biology; 70(2); 395-404","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200023&lang=pt" 
"S1519-69842010000200026-scl","Helminthological screening of free-ranging grey brocket deer Mazama gouazoubira Fischer, 1817 (Cervidae: Odocoileini) from Brazilian Pantanal wetlands, with considerations on Pygarginema verrucosa (Molin, 1860) Kadenatzii, 1948 (Spirocercidae: Ascaropsinae)","Lux Hoppe, EG., Tebaldi, JH., Nascimento, AA.","Brazilian Journal of Biology; 70(2); 417-423","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200026&lang=pt" 
"S1519-69842010000200027-scl","Aerobic and anaerobic metabolism for the zebrafish, Danio rerio, reared under normoxic and hypoxic conditions and exposed to acute hypoxia during development","Barrionuevo, WR, Fernandes, MN, Rocha, O","Brazilian Journal of Biology; 70(2); 425-434","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200027&lang=pt" 
"S1519-69842010000200017-scl","Anther and pollen development in some species of Poaceae (Poales)","Nakamura, AT., Longhi-Wagner, HM., Scatena, VL.","Brazilian Journal of Biology; 70(2); 351-360","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200017&lang=pt" 
"S1519-69842010000200018-scl","Effects of 2,4-D on the germination of megaspores and initial development of Regnellidium diphyllum Lindman (Monilophyta, Marsileaceae)","Cassanego, MBB, Droste, A, Windisch, PG","Brazilian Journal of Biology; 70(2); 361-366","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200018&lang=pt" 
"S1519-69842010000200008-scl","Input of litter in deforested and forested areas of a tropical headstream","Carvalho, EM, Uieda, VS","Brazilian Journal of Biology; 70(2); 283-288","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200008&lang=pt" 
"S1519-69842010000200010-scl","Identification of plant families associated with the predators Chrysoperla externa (Hagen) (Neuroptera: Chrysopidae) and Hippodamia convergens Guérin-Menéville (Coleoptera: Coccinelidae) using pollen grain as a natural marker","Medeiros, MA, Ribeiro, PA, Morais, HC, Castelo Branco, M, Sujii, ER, Salgado-Laboriau, ML.","Brazilian Journal of Biology; 70(2); 293-300","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200010&lang=pt" 
"S1519-69842010000200019-scl","Biology of Vampyressa pusilla (Wagner) in Rio de Janeiro State, southeastern Brazil (Mammalia, Chiroptera, Phyllostomidae)","Esbérard, CEL, Bergallo, HG","Brazilian Journal of Biology; 70(2); 367-371","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200019&lang=pt" 
"S1519-69842010000200003-scl","Bird richness and composition in a Cerrado fragment in the State of São Paulo","Manica, LT, Telles, M, Dias, MM","Brazilian Journal of Biology; 70(2); 243-254","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200003&lang=pt" 
"S1519-69842010000200016-scl","Ultrastructural analysis of the dorsal body gland of the terrestrial snail Megalobulimus abbreviatus (Becquaert, 1948)","Moraes, GD, Achaval, M., Dal Piva, MM, Faccioni-Heuser, MC, Wassermann, GF, Zancan, DM","Brazilian Journal of Biology; 70(2); 341-350","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000200016&lang=pt" 
