"S0101-74382006000200005-scl","Um algoritmo evolutivo híbrido para a formação de células de manufatura em sistemas de produção","Trindade, Áthila Rocha, Ochi, Luiz Satoru","Pesquisa Operacional; 26(2); 255-294","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200005&lang=pt" 
"S0101-81082006000200012-scl","Expectativas de resultados frente ao uso de álcool, maconha e tabaco","Pedroso, Rosemeri Siqueira, Oliveira, Margareth da Silva, Araujo, Renata Brasil, Castro, Maria da Graça, Melo, Wilson Vieira","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 198-206","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200012&lang=pt" 
"S0101-81082006000200007-scl","Versão brasileira do Defense Style Questionnaire (DSQ) de Michael Bond: problemas e soluções","Andrade, Mônica, Shirakawa, Itiro","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 144-160","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200007&lang=pt" 
"S1517-97022006000200001-scl","EDITORIAL","Carvalho, Marília Pinto de","Educação e Pesquisa; 32(2); 219-222","Educação e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200001&lang=pt" 
"S1517-97022006000200008-scl","Apresentação","Chamlian, Helena Coharik, Bueno, Belmira Oliveira","Educação e Pesquisa; 32(2); 327-328","Educação e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200008&lang=pt" 
"S1517-97022006000200002-scl","Somos todos trabalhadores em Educação? reflexões sobre identidades docentes desde a perspectiva de sindicalistas","Ferreira, Márcia Ondina Vieira","Educação e Pesquisa; 32(2); 225-240","Educação e Pesquisa","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200002&lang=pt" 
"S1517-97022006000200003-scl","Grupos de discussão na pesquisa com adolescentes e jovens: aportes teórico-metodológicos e análise de uma experiência com o método","Weller, Wivian","Educação e Pesquisa; 32(2); 241-260","Educação e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200003&lang=pt" 
"S1517-97022006000200004-scl","Leitura e alfabetização no Brasil: uma busca para além da polarização","Belintane, Claudemir","Educação e Pesquisa; 32(2); 261-277","Educação e Pesquisa","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200004&lang=pt" 
"S1517-97022006000200005-scl","Leitura em língua estrangeira: entre o ensino médio e o vestibular","Fernández, Gretel Eres, Kanashiro, Daniela S. Kawamoto","Educação e Pesquisa; 32(2); 279-291","Educação e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200005&lang=pt" 
"S1517-97022006000200006-scl","Percepción de los docentes chilenos acerca del programa de escuelas focalizadas: elementos para el análisis de una política educativa de &#039;acción positiva&#039;","Bustamante U., Miguel, Donoso D., Sebastián","Educação e Pesquisa; 32(2); 293-310","Educação e Pesquisa","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200006&lang=pt" 
"S1517-97022006000200007-scl","Educação e resistência: relato de experiência","Guedes, Lizandra, Depieri, Adriana","Educação e Pesquisa; 32(2); 311-324","Educação e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200007&lang=pt" 
"S1517-97022006000200009-scl","As histórias de vida em formação: gênese de uma corrente de pesquisa-ação-formação existencial","Pineau, Gaston","Educação e Pesquisa; 32(2); 329-343","Educação e Pesquisa","Francês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200009&lang=pt" 
"S1517-97022006000200010-scl","A formação de adultos confrontada pelo imperativo biográfico","Dominicé, Pierre","Educação e Pesquisa; 32(2); 345-357","Educação e Pesquisa","Francês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200010&lang=pt" 
"S1517-97022006000200011-scl","Formação e socialização: os ateliês biográficos de projeto","Delory-Momberger, Christine","Educação e Pesquisa; 32(2); 359-371","Educação e Pesquisa","Francês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200011&lang=pt" 
