"S1517-86922000000500005-scl","Aptidão física, saúde e qualidade de vida relacionada à saúde em adultos","Araújo, Denise Sardinha Mendes Soares de, Araújo, Claudio Gil Soares de","Revista Brasileira de Medicina do Esporte; 6(5); 194-203","Revista Brasileira de Medicina do Esporte","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922000000500005&lang=pt" 
"S0036-46652000000500003-scl","Arbitrarily primed PCR fingerprinting of RNA and DNA in Entamoeba histolytica","VALLE, Paulo Renato, SOUZA, Maria Betânia G., PIRES, Edna M., SILVA, Edward F., GOMES, Maria A.","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 249-253","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500003&lang=pt" 
"S0036-46652000000500004-scl","Characterization and optimization of bovine Echinococcus granulosus cyst fluid to be used in immunodiagnosis of hydatid disease by ELISA","IRABUENA, Oscar, NIETO, Alberto, FERREIRA, Ana María, BATTISTONI, Julio, FERRAGUT, Gabriela","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 255-262","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500004&lang=pt" 
"S0036-46652000000500006-scl","An initial examination of the epidemiology of malaria in the State of Roraima, in the Brazilian Amazon Basin","CHAVES, Sandra S., RODRIGUES, Laura C.","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 269-275","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500006&lang=pt" 
"S0036-46652000000500009-scl","Massive ocular hemorrhage resulting in blindness in a patient with the sickle cell trait who developed leptospirosis. Case report","COSTA, Everaldo, LOPES, Antonio Alberto, SACRAMENTO, Edilson, SANTOS, Paulo Afonso B.","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 287-289","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500009&lang=pt" 
"S0036-46652000000500008-scl","Envenomation by the neotropical colubrid Boiruna maculata (Boulenger, 1896): a case report","SANTOS-COSTA, Maria Cristina dos, OUTEIRAL, Arlete Ballestrin, D&#039;AGOSTINI, Fernanda Maurer, CAPPELLARI, Lize Helena","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 283-286","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500008&lang=pt" 
"S0036-46652000000500014-scl","","","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500014&lang=pt" 
"S0036-46652000000500010-scl","Susceptibility of Biomphalaria tenagophila and Biomphalaria straminea to Schistosoma mansoni infection detected by low stringency polymerase chain reaction","JANNOTTI-PASSOS, Liana Konovaloff, SOUZA, Cecilia Pereira de","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 291-294","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500010&lang=pt" 
"S0066-782X2000001000002-scl","Myocardial revascularization with coronary endarterectomy. Stratification of risk factors for early mortality","Atik, Fernando Antibas, Dallan, Luís Alberto Oliveira, Oliveira, Sérgio Almeida de, Lisboa, Luiz Augusto Ferreira, Platania, Fernando, Cabral, Richard Halti, Jatene, Adib Domingos","Arquivos Brasileiros de Cardiologia; 75(4); 275-280","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000002&lang=pt" 
"S0066-782X2000001000004-scl","PANDORA - Survey of Brazilian cardiologists about cholesterol reduction","Santos, Raul D., Spósito, Andrei C., Santos, José Ernesto dos, Fonseca, Francisco H., Moriguchi, Emílio H., Martinez, Tania L. R., Armaganijam, Dikran, Timerman, Sérgio, Timerman, Ari, Nicolau, José C., Ramires, José A. F.","Arquivos Brasileiros de Cardiologia; 75(4); 296-302","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000004&lang=pt" 
"S0066-782X2000001000006-scl","Outcome of acute renal failure associated with cardiac surgery in infants","Romão Jr, João Egídio, Fuzissima, Miguel G., Vidonho Jr, Armando F., Noronha, Irene L., Quintaes, Paulo Sérgio L., Abensur, Hugo, Araújo, Maria Regina T., Freitas Jr, Ivanir, Marcondes, Marcello","Arquivos Brasileiros de Cardiologia; 75(4); 318-321","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000006&lang=pt" 
"S0036-46652000000500005-scl","Diagnosis of hepatitis C virus in Brazilian blood donors using a reverse transcriptase nested polymerase chain reaction: comparison with enzyme immunoassay and recombinant protein immunoblot assay","GONÇALES, Neiva S. L., COSTA, Fernando F., VASSALLO, José, GONÇALES JR., Fernando L.","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 263-267","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500005&lang=pt" 
