"S1137-66272009000300011-esp","Neuritis óptica inflamatoria","Ayuso, T., Aliseda, D., Ajuria, I., Zandío, B., Mayor, S., Navarro, M.C.","Anales del Sistema Sanitario de Navarra; 32(2); 249-263","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300011&lang=pt" 
"S0103-84782009000500016-scl","Produção de muda orgânica de pimentão com diferentes substratos","Araújo Neto, Sebastião Elviro de, Azevedo, José Marlo Araújo de, Galvão, Robson de Oliveira, Oliveira, Elizângela Barbosa de Lima, Ferreira, Regina Lúcia Félix","Ciência Rural; 39(5); 1408-1413","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500016&lang=pt" 
"S0103-84782009000500030-scl","Sistema de integração lavoura-pecuária: efeito do manejo da altura em pastagem de aveia preta e azevém anual sobre o rendimento da cultura da soja","Lopes, Marília Lazzarotto Terra, Carvalho, Paulo César de Faccio, Anghinoni, Ibanor, Santos, Davi Teixeira dos, Aguinaga, Angelo Antonio Queirolo, Flores, João Paulo Cassol, Moraes, Anibal de","Ciência Rural; 39(5); 1499-1506","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500030&lang=pt" 
"S0103-84782009000500010-scl","Aplicação pré-colheita de reguladores vegetais visando retardar a maturação de ameixas &#039;Laetitia&#039;","Steffens, Cristiano André, Amarante, Cassandro Vidal Talamini do, Chechi, Ricardo, Silveira, João Paulo Generoso, Brackmann, Auri","Ciência Rural; 39(5); 1369-1373","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500010&lang=pt" 
"S0103-84782009000500025-scl","Ocorrência de Giardia, Cryptosporidium e microsporídios em animais silvestres em área de desmatamento no Estado de São Paulo, Brasil","Lallo, Maria Anete, Pereira, Adriano, Araújo, Ronalda, Favorito, Sandra Elisa, Bertolla, Patrícia, Bondan, Eduardo Fernandes","Ciência Rural; 39(5); 1465-1470","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500025&lang=pt" 
"S0103-84782009000500005-scl","Expressão da resistência parcial à ferrugem da folha da aveia presente na linhagem MN841801, no ambiente do Sul do Brasil","Martinelli, José Antônio, Chaves, Márcia Soares, Federizzi, Luiz Carlos, Savi, Valda","Ciência Rural; 39(5); 1335-1342","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500005&lang=pt" 
"S0103-84782009000500048-scl","Tilletia barclayana: biologia e manejo em arroz irrigado","Zemolin, Carla Rejane, Costa, Ivan Dressler da, Lenz, Giuvan, Marques, Leandro, Stefanelo, Maurício, Karkow, Douglas, Arrué, Adriano, Coradini, Cézar, Bayer, Tânia","Ciência Rural; 39(5); 1595-1600","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500048&lang=pt" 
"S0103-84782009000500021-scl","Anestesia intravenosa total utilizando propofol ou propofol/cetamina em cadelas submetidas à ovariossalpingohisterectomia","Gasparini, Simone Salata, Luna, Stelio Pacca Loureiro, Cassu, Renata Navarro, Biasi, Fernando de","Ciência Rural; 39(5); 1438-1444","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500021&lang=pt" 
"S0103-84782009000500050-scl","Melhoramento florestal: ênfase na aplicação da biotecnologia","Golle, Diego Pascoal, Reiniger, Lia Rejane Silveira, Curti, Aline Ritter, Bevilacqua, Caroline Borges","Ciência Rural; 39(5); 1607-1614","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500050&lang=pt" 
"S0103-84782009000500028-scl","Persistência na lactação para vacas da raça Holandesa criadas no Estado do Rio Grande do Sul via modelos de regressão aleatória","Dorneles, Cristian Kelen Pinto, Rorato, Paulo Roberto Nogara, Cobuci, Jaime Araújo, Lopes, Jader Silva, Weber, Tomás, Oliveira, Henrique Nunes de","Ciência Rural; 39(5); 1485-1491","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500028&lang=pt" 
"S0103-84782009000500034-scl","Floor versus cage rearing: effects on production, egg quality and physical condition of laying hens housed in furnished cages","Roll, Victor Fernando Büttow, Briz, Ricardo Cepero, Levrino, Gustavo Adolfo Maria","Ciência Rural; 39(5); 1527-1532","Ciência Rural","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500034&lang=pt" 
"S0103-84782009000500036-scl","Análise comparativa da criação dos camarões-rosa Farfantepenaeus brasiliensis e FarfantePenaeus paulensis criados em gaiolas em ambiente estuarino","Lopes, Diogo Luiz de Alcantara, Wasielesky Junior, Wilson, Ballester, Eduardo Cupertino, Peixoto, Sílvio Ricardo Maurano","Ciência Rural; 39(5); 1540-1546","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500036&lang=pt" 
"S0103-84782009000500049-scl","Inspeção técnica de pulverizadores agrícolas: histórico e importância","Dornelles, Marçal Elizandro, Schlosser, José Fernando, Casali, André Luis, Brondani, Leonardo Basso","Ciência Rural; 39(5); 1601-1606","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500049&lang=pt" 
"S0034-89102009000400009-scl","Performance of a Brazilian population on the test of functional health literacy in adults","Carthery-Goulart, Maria Teresa, Anghinah, Renato, Areza-Fegyveres, Renata, Bahia, Valeria Santoro, Brucki, Sonia Maria Dozzi, Damin, Antonio, Formigoni, Ana Paula, Frota, Norberto, Guariglia, Carla, Jacinto, Alessandro F, Kato, Eliane Mayumi, Lima, Edson P, Mansur, Letícia, Moreira, Daniel, Nóbrega, Ana, Porto, Claudia Selitto, Senaha, Mirna L H, Silva, Mari-Nilva Maia da, Smid, Jerusa, Souza-Talarico, Juliana N, Radanovic, Marcia, Nitrini, Ricardo","Revista de Saúde Pública; 43(4); 631-638","Revista de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400009&lang=pt" 
"S0034-89102009000400014-scl","Gasto do Ministério da Saúde com medicamentos: tendência dos programas de 2002 a 2007","Vieira, Fabiola Sulpino","Revista de Saúde Pública; 43(4); 674-681","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400014&lang=pt" 
"S0034-89102009000400014-spa","Gasto do Ministério da Saúde com medicamentos: tendência dos programas de 2002 a 2007","Vieira, Fabiola Sulpino","Revista de Saúde Pública; 43(4); 674-681","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000400014&lang=pt" 
"S0102-311X2009000800006-spa","Avaliação de conhecimentos e práticas que adultos e crianças têm acerca da doença de Chagas e seus vetores em região endêmica de Minas Gerais, Brasil","Villela, Marcos Marreiro, Pimenta, Denise Nacif, Lamounier, Paulo Acácio, Dias, João Carlos Pinto","Cadernos de Saúde Pública; 25(8); 1701-1710","Cadernos de Saúde Pública","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2009000800006&lang=pt" 
"S0213-12852009000400005-esp","Utilización de la técnica radiográfica de Fitzgerald como método de diagnóstico en implantología oral y periodoncia","Vázquez Diego, J., Errecaborde, M., Estévez, A., Osende, N., Ramírez, M.J., Carvajal, E.","Avances en Odontoestomatología; 25(4); 203-208","Avances en Odontoestomatología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852009000400005&lang=pt" 
"S0213-12852009000400002-esp","Manifestaciones orales del síndrome de Mobius asociado a Poland: descripción de un caso clínico","Figueiredo, M.C., Faustino-Silva, D.D., Bez, A.S., Rincón, D.P.C.","Avances en Odontoestomatología; 25(4); 179-183","Avances en Odontoestomatología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852009000400002&lang=pt" 
"S0213-12852009000400006-esp","Conocimiento y actitud del odontólogo frente al manejo del tabaquismo: estudio comparativo entre España, Italia y Venezuela","Villarroel Dorrego, M., Bascones-Martínez, A., Pérez González, E., Lauritano, D.","Avances en Odontoestomatología; 25(4); 209-213","Avances en Odontoestomatología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852009000400006&lang=pt" 
"S0213-12852009000400007-esp","Eficacia de la moxifloxacina en infecciones odontogénicas","Ardila Medina, C.M.","Avances en Odontoestomatología; 25(4); 215-222","Avances en Odontoestomatología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852009000400007&lang=pt" 
"S0103-90162009000400005-scl","Total leaf area of papaya trees estimated by a nondestructive method","Posse, Robson Prucoli, Sousa, Elias Fernandes de, Bernardo, Salassier, Pereira, Messias Gonzaga, Gottardo, Romildo Domingos","Scientia Agricola; 66(4); 462-466","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400005&lang=pt" 
"S0103-90162009000400006-scl","Isotopic view of vegetation and carbon and nitrogen cycles in a cerrado ecosystem, southeastern Brazil","Coletta, Luciana Della, Nardoto, Gabriela Bielefeld, Latansio-Aidar, Sabrina Ribeiro, Rocha, Humberto Ribeiro da","Scientia Agricola; 66(4); 467-475","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400006&lang=pt" 
"S0103-90162009000400012-scl","EDTA assisted phytorremediation of a Pb contamined soil: metal leaching and uptake by jack beans","Gabos, Mariana Bassetto, Abreu, Cleide Aparecida de, Coscione, Aline Reneé","Scientia Agricola; 66(4); 506-514","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400012&lang=pt" 
"S0103-90162009000400017-scl","In vitro sensivity of fig plantlets to gamma rays","Ferreira, Ester Alice, Pasqual, Moacir, Tulmann Neto, Augusto","Scientia Agricola; 66(4); 540-542","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400017&lang=pt" 
"S0103-90162009000400021-scl","Theoretical basis and significance of the variance of discharge as a bidimensional variable for the design of lateral lines of micro-irrigation","Detomini, Euro Roberto, Power, Brendan, Frizzone, José Antônio","Scientia Agricola; 66(4); 563-569","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400021&lang=pt" 
