"S0430-50272015000100005-prt","Mobilidades, comércio e consumo da feira de Leiria: conflitos de uma centralidade temporária","Bernardino, Virgílio Manuel Pereira, Rocha, Márcio Mendes","Finisterra - Revista Portuguesa de Geografia; (99); 101-117","Finisterra - Revista Portuguesa de Geografia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0430-50272015000100005&lang=pt" 
"S2179-10742015000100051-scl","Etched FBG written in multimode fibers: sensing characteristics and applications in the liquid fuels sector","Corotti Jr, Raquel de Paiva, Thaler, Juliana, Kalinowski, Hypolito José, Muller, Marcia, Fabris, José Luís, Kamikawachi, Ricardo Canute","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 51-59","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100051&lang=pt" 
"S1405-66662015000200001-mex","¿Cómo interpretar una diversidad tan grande de investigaciones?","de Vries, Wietse","Revista mexicana de investigación educativa; 20(65); 343-346","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200001&lang=pt" 
"S1405-66662015000200007-mex","¿Otra vez la identidad?: Un concepto necesario pero imposible","Navarrete-Cazales, Zaira","Revista mexicana de investigación educativa; 20(65); 461-479","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200007&lang=pt" 
"S2179-10742015000100097-scl","Maximum Power Transfer versus Efficiency in Mid-Range Wireless Power Transfer Systems","Abatti, Paulo J., Pichorim, Sérgio F., de Miranda, Caio M.","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 97-109","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100097&lang=pt" 
"S1405-66662015000200009-mex","Tiempo escolar y subjetividad: significaciones sobre la práctica docente en escuelas de tiempo completo","Pérez Ruiz, Abel, Ferrer Meza, Rosalba, García Díaz, Enrique","Revista mexicana de investigación educativa; 20(65); 507-527","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200009&lang=pt" 
"S1405-66662015000200002-mex","Procesos de participación entre profesoras de jardines de niños y madres de familia en actividades de enseñanza","Mercado Maldonado, Ruth, Montaño Sánchez, Leticia","Revista mexicana de investigación educativa; 20(65); 347-368","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200002&lang=pt" 
"S2179-10742015000100001-scl","A Compact Dual-Band Octagonal Slotted Printed Monopole Antenna for WLAN/ WiMAX and UWB Applications","Naidu, Praveen V., Kumar, Raj","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 1-13","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100001&lang=pt" 
"S2179-10742015000100083-scl","Semi-analytical formulation for a Unified Time and Frequency Antenna Characterization","Gonçalves, S. T. M, Rego, C. G. do","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 83-96","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100083&lang=pt" 
"S1405-66662015000200006-mex","La práctica en las políticas curriculares iberoamericanas para la formación docente","Evangelista Dias, Rosanne","Revista mexicana de investigación educativa; 20(65); 443-459","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200006&lang=pt" 
"S1405-66662015000200005-mex","Diversidad y rol de la escuela: discursos del profesorado en contextos educativos multiculturales en clave migratoria","Jiménez, Felipe, Fardella, Carla","Revista mexicana de investigación educativa; 20(65); 419-441","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200005&lang=pt" 
