"S0718-84712015000100019-chl","Georgios Kanarakis (Editor): El aporte diacrònico del griego a otras lenguas","Castillo Didier, Miguel","Byzantion nea hellás; (34); 359-361","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100019&lang=pt" 
"S2007-24222015000500002-mex","Hydrological Modeling of the Tampaon River in the Context of Climate Change","Velázquez, Juan Alberto, Troin, Magali, Caya, Daniel","Tecnología y ciencias del agua; 6(5); 17-30","Tecnología y ciencias del agua","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500002&lang=pt" 
"S2007-24222015000500010-mex","Aplicación de isótopos ambientales en la determinación de la biodegradación de compuestos orgánicos","Lesser-Carrillo, Luis E.","Tecnología y ciencias del agua; 6(5); 123-129","Tecnología y ciencias del agua","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500010&lang=pt" 
"S2007-24222015000500004-mex","Study of Water Flow in Dams using Successive Over-relaxation","López-Acosta, Norma Patricia, González-Acosta, José León","Tecnología y ciencias del agua; 6(5); 43-58","Tecnología y ciencias del agua","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500004&lang=pt" 
"S2007-24222015000500003-mex","Efectos de los estrógenos como contaminantes emergentes en la salud y el ambiente","Ramírez-Sánchez, Irwing M., Martínez-Austria, Polioptro, Quiroz-Alfaro, Marco A., Bandala, Erick R.","Tecnología y ciencias del agua; 6(5); 31-42","Tecnología y ciencias del agua","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500003&lang=pt" 
"S2007-24222015000500005-mex","Relación entre oxígeno disuelto, precipitación pluvial y temperatura: río Zahuapan, Tlaxcala, México","Muñoz, Hipólito, Orozco, Saturnino, Vera, Andrea, Suárez, Juan, García, Edelmira, Neria, Mercedes, Jiménez, José","Tecnología y ciencias del agua; 6(5); 59-74","Tecnología y ciencias del agua","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500005&lang=pt" 
"S2007-24222015000500006-mex","Monitoreo de humedad en suelo a través de red inalámbrica de sensores","Flores-Medina, María, Flores-García, Francisco, Velasco-Martínez, Víctor, González-Cervantes, Guillermo, Jurado-Zamarripa, Francisco","Tecnología y ciencias del agua; 6(5); 75-88","Tecnología y ciencias del agua","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500006&lang=pt" 
"S0121-81232015000400001-col","El dolor, la personalidad y los trastornos psiquiátricos en las enfermedades reumáticas","Pérez, Héctor Mauricio, Quintana López, Gerardo","Revista Colombiana de Reumatología; 22(4); 189-191","Revista Colombiana de Reumatología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232015000400001&lang=pt" 
"S1555-79602015000400013-spa","Immigration and Population in Canada: A Dependent Relationship Case Study of Cuban Immigration","Gutiérrez, Ivis","MEDICC Review; 17(4); 53-58","MEDICC Review","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1555-79602015000400013&lang=pt" 
"S1555-79602015000400012-spa","The Debate in Cuba’s Scientific Community on Sudden Cardiac Death","Vilches, Ernesto, Ochoa, Luis A., Ramos, Lianne","MEDICC Review; 17(4); 48-52","MEDICC Review","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1555-79602015000400012&lang=pt" 
"S1555-79602015000400008-spa","HIV-1 Genetic Variability in Cuba and Implications for Transmission and Clinical Progression","Blanco, Madeline, Machado, Liuber Y., Díaz, Héctor, Ruiz, Nancy, Romay, Dania, Silva, Eladio","MEDICC Review; 17(4); 25-31","MEDICC Review","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1555-79602015000400008&lang=pt" 
"S0121-81232015000400006-col","Linfadenopatías generalizadas como primera manifestación de lupus eritematoso sistémico; un diagnóstico diferencial de enfermedad linfoproliferativa. Un reporte de dos casos","Chaves, Walter Gabriel, Carrero, Nubia Esperanza, Tejeda, Miguel José","Revista Colombiana de Reumatología; 22(4); 225-230","Revista Colombiana de Reumatología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232015000400006&lang=pt" 
"S1555-79602015000400007-spa","Environmental, Nutrition and Health Issues in a US Refugee Resettlement Community","Sastre, Lauren, Haldeman, Lauren","MEDICC Review; 17(4); 18-24","MEDICC Review","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1555-79602015000400007&lang=pt" 
"S1555-79602015000400006-spa","Outcomes among Asylum Seekers in Atlanta, Georgia, 2003-2012","Evans, Dabney P., Donato, Caitlin E., Malewezi, Bridget A., Li, Anyie J., Corea, Mario J., Mitchell, Andrew B.","MEDICC Review; 17(4); 12-17","MEDICC Review","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1555-79602015000400006&lang=pt" 
