"S0102-85292016000200567-scl","Explaining Co-operation and Conflict in Southern Africa: State-building, Foreign Policy and Regional Order","Silva, Igor Castellano da","Contexto Internacional; 38(2); 567-591","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000200567&lang=pt" 
"S1415-98482016000200207-scl","EXPLORATORY NOTE ON CONSUMPTION AND SOCIOECONOMIC CLASSIFICATION IN BRAZIL BASED ON EVIDENCES FROM THE FAMILY EXPENDITURE SURVEY","Paiva, Guilherme França dos Santos, Silva, Denise Britz do Nascimento, Feijó, Carmem Aparecida","Revista de Economia Contemporânea; 20(2); 207-228","Revista de Economia Contemporânea","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482016000200207&lang=pt" 
"S1415-98482016000200281-scl","TEORIA ECONÔMICA E POLÍTICA DE INOVAÇÃO","Costa, Achyles Barcelos da","Revista de Economia Contemporânea; 20(2); 281-307","Revista de Economia Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482016000200281&lang=pt" 
"S0103-49792016000200229-scl","POLITIZAÇÃO, AMBIENTALIZAÇÃO E DESENVOLVIMENTO TERRITORIAL EM RESERVAS EXTRATIVISTAS","Teisserenc, Maria José da S. A.","Caderno CRH; 29(77); 229-242","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200229&lang=pt" 
"S0103-49792016000200381-scl","MERCOSUR, ASIMETRÍAS E INTEGRACIÓN PRODUCTIVA: discusión y balance a 25 años de la creación del bloque","Granato, Leonardo","Caderno CRH; 29(77); 381-394","Caderno CRH","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200381&lang=pt" 
"S0103-49792016000200363-scl","MULTICULTURALISMO E DIREITOS ESPECIAIS DE REPRESENTAÇÃO: o problema dos essencialismos identitários","Carvalho, Bruno Sciberras de, Coser, Ivo","Caderno CRH; 29(77); 363-379","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200363&lang=pt" 
"S0188-252X2016000200255-mex","Redes sociales, participación ciudadana y democracia: una perspectiva realista sobre las oportunidades del digi-activismo","Treré, Emiliano","Comunicación y sociedad; (26); 255-258","Comunicación y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2016000200255&lang=pt" 
"S0188-252X2016000200007-mex","Presentación","Charlois Allende, Adrien","Comunicación y sociedad; (26); 7-12","Comunicación y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2016000200007&lang=pt" 
"S0124-00642016000400002-spa","Condicionantes socioeconómicos y obesidad en adultos: evidencia basada en regresiones por cuantiles y datos de panel","Temporelli, Karina L, Viego, Valentina N","Revista de Salud Pública; 18(4); 516-529","Revista de Salud Pública","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642016000400002&lang=pt" 
"S0124-00642016000400006-spa","Disease burden and medical cost-analysis of Acute Respiratory Infections in a low-income district of Bogotá","Lara-Oliveros, Carlos A, De Graeve, Diana, Franco, Fabián, Daza, Sandra P","Revista de Salud Pública; 18(4); 568-580","Revista de Salud Pública","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642016000400006&lang=pt" 
"S0124-00642016000400011-spa","Revisão sistemática sobre nível de atividade física e estado nutricional de crianças brasileiras","Graziele Bento, Gisele, Cascaes da Silva, Franciele, Gonçalves, Elizandra, Domingos dos Santos, Patrícia, da Silva, Rudney","Revista de Salud Pública; 18(4); 630-642","Revista de Salud Pública","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642016000400011&lang=pt" 
