"S0718-58392014000200015-chl","Influence of breed and feeding on the main quality characteristics of sheep carcass and meat: A review","Ramírez-Retamal, Jorge, Morales, Rodrigo","Chilean journal of agricultural research; 74(2); 225-233","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000200015&lang=pt" 
"S1665-11462014000200001-mex","Hacia la mejora de la calidad de la atención en recién nacidos","Villasís Keever, Miguel Angel, Garduño Espinosa, Juan","Boletín médico del Hospital Infantil de México; 71(2); 65-67","Boletín médico del Hospital Infantil de México","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200001&lang=pt" 
"S0187-01732014000100002-mex","Patrón de reproducción del capital y clases sociales en la Argentina contemporánea","Constantino, Agostina, Cantamutto, Francisco José","Sociológica (México); 29(81); 39-86","Sociológica (México)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-01732014000100002&lang=pt" 
"S0187-01732014000100007-mex","Cosmologías y orden social organizacional","Gonnet, Juan Pablo","Sociológica (México); 29(81); 227-260","Sociológica (México)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-01732014000100007&lang=pt" 
"S0187-01732014000100003-mex","Estudiar lo policial: Consideraciones acerca del estudio de las fuerzas de seguridad y una apuesta","Ríos, Alina Lis","Sociológica (México); 29(81); 87-118","Sociológica (México)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-01732014000100003&lang=pt" 
"S0187-01732014000100004-mex","Bases del modelo de valoración precario del trabajo en Chile: Acercamientos desde la política laboral y la cultura del trabajo","Julián Vejar, Dasten Alfonso","Sociológica (México); 29(81); 119-160","Sociológica (México)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-01732014000100004&lang=pt" 
"S0187-01732014000100005-mex","Formación histórica de la sociología rural: proceso de civilización del indio y del campesino en México (1870-1960)","Lutz, Bruno","Sociológica (México); 29(81); 161-197","Sociológica (México)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-01732014000100005&lang=pt" 
"S0102-695X2014000200124-scl","Ethnopharmacological study of Stryphnodendron rotundifoliumin two communities in the semi-arid region of northeastern Brazil","Oliveira, Dayanne Rakelly de, Ferreira Júnior, Washington Soares, Bitu, Vanessa de Carvalho Nilo, Pinheiro, Patricia Gonçalves, Menezes, Cicero Diego Almino, Brito Junior, Francisco Elizaudo de, Albuquerque, Ulysses Paulino de, Kerntopf, Marta Regina, Coutinho, Henrique Douglas Melo, Fachinetto, Roselei, Menezes, Irwin Rose Alencar","Revista Brasileira de Farmacognosia; 24(2); 124-132","Revista Brasileira de Farmacognosia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2014000200124&lang=pt" 
"S0102-695X2014000200116-scl","Does total tannin content explain the use value of spontaneous medicinal plants from the Brazilian semi-arid region?","Monteiro, Julio M., Souza, João S.N. de, Lins Neto, Ernani M.F., Scopel, Keli, Trindade, Elzineide F.","Revista Brasileira de Farmacognosia; 24(2); 116-123","Revista Brasileira de Farmacognosia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2014000200116&lang=pt" 
"S0102-695X2014000200171-scl","Species with medicinal and mystical-religious uses in São Francisco do Conde, Bahia, Brazil: a contribution to the selection of species for introduction into the local Unified Health System","Almeida, Mara Z., Léda, Paulo H.O., Silva, Mayara Q. O. R. da, Pinto, André, Lisboa, Marisa, Guedes, Maria Lenise M. L., Peixoto, Ariane L.","Revista Brasileira de Farmacognosia; 24(2); 171-184","Revista Brasileira de Farmacognosia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2014000200171&lang=pt" 
"S0102-695X2014000200225-scl","Medicinal plants traded in the open-air markets in the State of Rio de Janeiro, Brazil: an overview on their botanical diversity and toxicological potential","Leitão, Fernanda, Leitão, Suzana Guimarães, Fonseca-Kruel, Viviane Stern da, Silva, Ines Machline, Martins, Karine","Revista Brasileira de Farmacognosia; 24(2); 225-247","Revista Brasileira de Farmacognosia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2014000200225&lang=pt" 
"S0102-695X2014000200153-scl","Documentation of the medicinal knowledge of Prosthechea karwinskii in a Mixtec community in Mexico","Garcia, Gabriela Cruz, Gomez, Rodolfo Solano, Rivera, Luicita Lagunez","Revista Brasileira de Farmacognosia; 24(2); 153-158","Revista Brasileira de Farmacognosia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2014000200153&lang=pt" 
"S0102-695X2014000200206-scl","Ethnopharmacological studies of Lippia origanoides","Oliveira, Danilo R., Leitão, Gilda G., Fernandes, Patrícia D., Leitão, Suzana G.","Revista Brasileira de Farmacognosia; 24(2); 206-214","Revista Brasileira de Farmacognosia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2014000200206&lang=pt" 
"S0080-62342014000200335-scl","Integrative Review: Concepts And Methods Used In Nursing","Soares, Cassia Baldini, Hoga, Luiza Akiko Komura, Peduzzi, Marina, Sangaleti, Carine, Yonekura, Tatiana, Silva, Deborah Rachel Audebert Delage","Revista da Escola de Enfermagem da USP; 48(2); 335-345","Revista da Escola de Enfermagem da USP","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342014000200335&lang=pt" 
"S0080-62342014000200206-scl","Intimate Partner Violence Against Pregnant Women: Study About The Repercussions On The Obstetric And Neonatal Results","Rodrigues, Driéli Pacheco, Gomes-Sponholz, Flávia Azevedo, Stefanelo, Juliana, Nakano, Ana Márcia Spanó, Monteiro, Juliana Cristina dos Santos","Revista da Escola de Enfermagem da USP; 48(2); 206-212","Revista da Escola de Enfermagem da USP","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342014000200206&lang=pt" 
"S0080-62342014000200285-scl","Virtual Guide On Ocular Self-Examination To Support The Self-Care Practice For People With HIV/AIDS","Lima, Maria Alzete de, Pagliuca, Lorita Marlena Freitag, Nascimento, Jennara Candido do, Caetano, Joselany Áfio","Revista da Escola de Enfermagem da USP; 48(2); 285-291","Revista da Escola de Enfermagem da USP","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342014000200285&lang=pt" 
