"S1516-89132014000100018-scl","Plant cells in the context of climate change","Machado, Marcelo Rubens","Brazilian Archives of Biology and Technology; 57(1); 126-137","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100018&lang=pt" 
"S1020-49892014000200009-spa","Acolhimento na Estratégia Saúde da Família: revisão integrativa","Garuzi, Miriane, Achitti, Maria Cecília de Oliveira, Sato, Cintia Ayame, Rocha, Suelen Alves, Spagnuolo, Regina Stella","Revista Panamericana de Salud Pública; 35(2); 144-149","Revista Panamericana de Salud Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200009&lang=pt" 
"S1020-49892014000200005-spa","Maternal health and health-seeking behaviors among indigenous Mam mothers from Quetzaltenango, Guatemala","Chomat, Anne Marie, Solomons, Noel W., Montenegro, Gabriela, Crowley, Caitlin, Bermudez, Odilia I.","Revista Panamericana de Salud Pública; 35(2); 113-120","Revista Panamericana de Salud Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200005&lang=pt" 
"S1020-49892014000200004-spa","Desnutrición infantil en menores de cinco años en Perú: tendencias y factores determinantes","Sobrino, Manuel, Gutiérrez, César, Cunha, Antonio J., Dávila, Miguel, Alarcón, Jorge","Revista Panamericana de Salud Pública; 35(2); 104-112","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200004&lang=pt" 
"S1135-57272014000100006-spa","Impacto del VIH/SIDA sobre la calidad de vida: metaanálisis 2002-2012","Cardona-Arias, Jaiberth Antonio, Higuita-Gutiérrez, Luis Felipe","Revista Española de Salud Pública; 88(1); 87-101","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100006&lang=pt" 
"S1135-57272014000100010-spa","Efectividad de distintas terapias físicas en el tratamiento conservador de la fascitis plantar: revisión sistemática","Díaz López, Ana María, Guzmán Carrasco, Patricia","Revista Española de Salud Pública; 88(1); 157-178","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100010&lang=pt" 
"S1020-49892014000200007-spa","Determinantes sociales de la exclusión a los servicios de salud y a medicamentos en tres países de América Central","Acuña, Cecilia, Marina, Nelly, Mendoza, Adriana, Emmerick, Isabel Cristina Martins, Luiza, Vera Lucía, Azeredo, Thiago Botelho","Revista Panamericana de Salud Pública; 35(2); 128-135","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200007&lang=pt" 
"S1135-57272014000100007-spa","Metaanálisis de comparación de grupos y metaanálisis de generalización de la fiabilidad del cuestionario State-Trait Anxiety Inventory (STAI)","Guillén-Riquelme, Alejandro, Buela-Casal, Gualberto","Revista Española de Salud Pública; 88(1); 101-112","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100007&lang=pt" 
"S1020-49892014000200008-spa","Geographic information system and multilevel analysis: gingival status among 12-year-old schoolchildren in São Paulo, Brazil","Pereira, Stela Márcia, Pardi, Vanessa, Cortellazzi, Karine L., Ambrosano, Glaucia Maria Bovi, Vettorazzi, Carlos Alberto, Ferraz, Sílvio F.B., Meneghim, Marcelo de Castro, Pereira, Antonio Carlos","Revista Panamericana de Salud Pública; 35(2); 136-143","Revista Panamericana de Salud Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200008&lang=pt" 
"S1135-57272014000100003-spa","Neuroticismo y trastorno por estrés postraumático: un estudio meta-analítico","Soler-Ferrería, Fabiola B, Sánchez-Meca, Julio, López-Navarro, José Manuel, Navarro-Mateu, Fernando","Revista Española de Salud Pública; 88(1); 17-36","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100003&lang=pt" 
"S1020-49892014000200011-spa","Eficacia de la detección sistemática de la gripe en las fronteras en los viajeros que llegan por vía aérea","Priest, Patricia C., Jennings, Lance C., Duncan, Alasdair R., Brunton, Cheryl R., Baker, Michael G.","Revista Panamericana de Salud Pública; 35(2); 155-162","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200011&lang=pt" 
"S0259-94222014000200001-sza","Contemporary prophetic preaching theory in the United States of America and South Africa: A comparative study through the lens of shared Reformation roots","Tisdale, Leonora Tubbs, de Wet, Friedrich W.","HTS Theological Studies; 70(2); 01-08","HTS Theological Studies","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222014000200001&lang=pt" 
"S0259-94222014000200002-sza","Practical Theology and providing service: The service through love of the Mamas Africa in the South African society","du Plessis, Amanda L.","HTS Theological Studies; 70(2); 01-07","HTS Theological Studies","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222014000200002&lang=pt" 
"S0075-64582014000200008-sza","Evaluating the effectiveness of guided versus non-guided interpretation in the Kruger National Park, South Africa","Roberts, Mark, Mearns, Kevin, Edwards, Victoria","Koedoe; 56(2); 1-08","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200008&lang=pt" 
"S0075-64582014000200009-sza","Exploring the impacts of protected area tourism on local communities using a resilience approach","Strickland-Munro, Jennifer, Moore, Susan","Koedoe; 56(2); 1-10","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200009&lang=pt" 
"S0075-64582014000200004-sza","Assessment of the main factors impacting community members&#039; attitudes towards tourism and protected areas in six southern African countries","Snyman, Susan","Koedoe; 56(2); 1-12","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200004&lang=pt" 
"S0075-64582014000200005-sza","Tourism and conservation in Madagascar: The importance of Andasibe National Park","Newsome, David, Hassell, Shannon","Koedoe; 56(2); 1-8","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200005&lang=pt" 
"S0075-64582014000200006-sza","Good governance and tourism development in protected areas: The case of Phong Nha-Ke Bang National Park, central Vietnam","Hübner, Anna, Phong, Lý T., Châu, Trương S.H.","Koedoe; 56(2); 1-10","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200006&lang=pt" 
"S0075-64582014000200007-sza","Which age group spends the most in a national park?","Cini, Francesca, Saayman, Melville","Koedoe; 56(2); 1-08","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200007&lang=pt" 
"S0075-64582014000200001-sza","Tourism and protected areas: A growing nexus of challenge and opportunity","F, Stephen, McCool, , Spenceley, Anna","Koedoe; 56(2); 1-2","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200001&lang=pt" 
"S0075-64582014000200002-sza","Research to guide management of outdoor recreation and tourism in parks and protected areas","Manning, Robert E.","Koedoe; 56(2); 1-7","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200002&lang=pt" 
"S0075-64582014000200003-sza","The determinants of visitor length of stay at the Kruger National Park","Kruger, Martinette, Saayman, Melville","Koedoe; 56(2); 1-11","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200003&lang=pt" 
"S0075-64582014000200010-sza","The development of a tourism research framework by South African National Parks to inform management","Biggs, Duan, Swemmer, Louise, Phillips, Glen, Stevens, Joep, Freitag, Stefanie, Grant, Rina","Koedoe; 56(2); 1-9","Koedoe","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0075-64582014000200010&lang=pt" 
"S0034-98872014000200021-chl","La farsa de la homeopatía","Young, Pablo","Revista médica de Chile; 142(2); 272-273","Revista médica de Chile","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872014000200021&lang=pt" 
"S0034-98872014000200020-chl","Síndrome de Hibris: descripción y tratamiento","Carvajal H, Carlos","Revista médica de Chile; 142(2); 270-271","Revista médica de Chile","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872014000200020&lang=pt" 
