"S1678-77572008000400006-scl","Surface degradation of composite resins by acidic medicines and ph-cycling","Valinoti, Ana Carolina, Neves, Beatriz Gonçalves, Silva, Eduardo Moreira da, Maia, Lucianne Cople","Journal of Applied Oral Science; 16(4); 257-265","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400006&lang=pt" 
"S0102-85292008000200002-scl","Soberania imperial, espaços de exceção e o campo de Guantánamo: desterritorialização e confinamento na &quot;guerra contra o terror&quot;","Gómez, José María","Contexto Internacional; 30(2); 267-308","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200002&lang=pt" 
"S0102-85292008000200006-scl","A União Européia: uma comunidade em construção","Camargo, Sonia de","Contexto Internacional; 30(2); 467-522","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200006&lang=pt" 
"S0102-85292008000200004-scl","A segurança energética da China e as reações dos EUA","Pautasso, Diego, Oliveira, Lucas Kerr de","Contexto Internacional; 30(2); 361-398","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200004&lang=pt" 
"S0102-85292008000200003-scl","&quot;Nosso Darfur, Darfur deles&quot;: a política desviante do Sudão e a nascente &quot;limpeza étnica&quot; em uma emergente anarquia Africana","Badmus, Isiaka Alani","Contexto Internacional; 30(2); 309-360","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200003&lang=pt" 
"S0102-85292008000200005-scl","Treze passos para o juízo final: a nova era do desarmamento nuclear dos Estados Unidos e da Rússia","Jesus, Diego Santos Vieira de","Contexto Internacional; 30(2); 399-466","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200005&lang=pt" 
"S0101-74382008000200001-scl","Carta do editor: uma nova fase da revista Pesquisa Operacional","Yanasse, Horacio Hideki","Pesquisa Operacional; 28(2); 201-201","Pesquisa Operacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382008000200001&lang=pt" 
"S0101-74382008000200006-scl","Modelo de risco e decisão de crédito baseado em estrutura de capital com informação assimétrica","Dantas, Régis Façanha, DeSouza, Sérgio Aquino","Pesquisa Operacional; 28(2); 263-284","Pesquisa Operacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382008000200006&lang=pt" 
"S0102-71822008000200001-scl","Editorial","Maheirie, Kátia","Psicologia &amp; Sociedade; 20(2); 153-154","Psicologia &amp; Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822008000200001&lang=pt" 
"S0102-71822008000200016-scl","The &quot;fascist&quot; discourse in computer mediated communication: the &quot;dual strategy&quot; model of the Italian Extreme Right","Tateo, Luca","Psicologia &amp; Sociedade; 20(2); 287-296","Psicologia &amp; Sociedade","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822008000200016&lang=pt" 
"S1415-52732008000400007-scl","Moringa oleifera: bioactive compounds and nutritional potential","Ferreira, Paulo Michel Pinheiro, Farias, Davi Felipe, Oliveira, José Tadeu de Abreu, Carvalho, Ana de Fátima Urano","Revista de Nutrição; 21(4); 431-437","Revista de Nutrição","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732008000400007&lang=pt" 
"S1415-52732008000400002-scl","Porcionamento dos principais alimentos e preparações consumidos por adultos e idosos residentes no município de São Paulo","Carlos, Jackeline Venancio, Rolim, Silvia, Bueno, Milena Baptista, Fisber, Regina Mara","Revista de Nutrição; 21(4); 383-391","Revista de Nutrição","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732008000400002&lang=pt" 
