"S1852-99922011000300010-arg","Colonoscopía virtual","Seehaus, Alberto Cristian","Revista argentina de radiología; 75(3); 222-222","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300010&lang=pt" 
"S0102-67202011000300003-scl","Cardiomiotomia com fundoplicatura videolaparoscópica no tratamento do megaesôfago não avançado","Silva, Carolina de Melo, Souza, Fábio Augusto Albanez, Cruz, Carlos Augusto Teixeira da, Torres, Ana Verusca, Barbosa, Camila Oliveira, Magalhães, Vanessa Solé Ferreira, Ribeiro, Paulo Roberto Faria, Silva, Jordana de Melo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 195-199","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300003&lang=pt" 
"S0102-67202011000300004-scl","Perfil dos pacientes ambulatoriais com doenças inflamatórias intestinais","Kleinubing-Júnior, Harry, Pinho, Mauro de S. L, Ferreira, Luis Carlos, Bachtold, Guilherme Augusto, Merki, Amanda","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 200-203","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300004&lang=pt" 
"S0102-67202011000300005-scl","Ingestão alimentar em pacientes com doença inflamatória intestinal","Silva, Alice Freitas da, Schieferdecker, Maria Eliana Madalozzo, Amarante, Heda Maria Barska dos Santos","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 204-209","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300005&lang=pt" 
"S0102-67202011000300006-scl","Médicos residentes podem realizar com segurança e eficiência técnicas de Milligan-Morgan, Ferguson e grampeadores no tratamento cirúrgico das hemorróidas?","Nahas, Sérgio Carlos, Pinto, Rodrigo Ambar, Dias, André Roncon, Chow, Bruce, Nahas, Caio Sergio Rizkallah, Marques, Carlos Frederico Sparapan, Cecconello, Ivan","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 210-214","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300006&lang=pt" 
"S0102-67202011000300007-scl","Protocolo eletrônico multiprofissional em cirurgia bariátrica","Nassif, Denise Serpa Bopp, Malafaia, Osvaldo, Nassif, Paulo Afonso Nunes, Kuretzki, Carlos Henrique, Lucas, Ricardo Wallace das Chagas, Pinto, José Simão de Paula","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 215-218","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300007&lang=pt" 
"S0102-67202011000300008-scl","Efeito da fisioterapia contra-resistida com relação à massa corporal magra em pacientes no pós-operatório de cirurgia bariátrica","Nassif, Denise Serpa Bopp, Nassif, Paulo Afonso Nunes, Lucas, Ricardo Wallace das Chagas, Ribas-Filho, Jurandir Marcondes, Czeczko, Nicolau Gregori, Kalil-Filho, Faruk Abrão, Freitas, Alexandre Coutinho Teixeira de","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 218-225","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300008&lang=pt" 
"S0102-67202011000300009-scl","Aspectos psicossociais em cirurgia bariátrica: a associação entre variáveis emocionais, trabalho, relacionamentos e peso corporal","Almeida, Graziela A Nogueira de, Giampietro, Helenice Brizolla, Belarmino, Lídia Barbieri, Moretti, Letícia do Amaral, Marchini, Júlio Sérgio, Ceneviva, Reginaldo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 226-231","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300009&lang=pt" 
"S0102-67202011000300011-scl","Gastrectomia parcial videoassistida para câncer gástrico precoce","Alves, José Roberto, Lopes, Luiz Roberto, Loureiro, Marcelo de Paula, Andreollo, Nelson Adami","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 235-238","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300011&lang=pt" 
"S0102-67202011000300013-scl","Gastroplastia vertical com desvio jejunoileal: novo procedimento técnico","Zilberstein, Bruno, Silveira-Filho, Arthur Sergio da, Ferreira, Juliana Abbud, Carvalho, Marnay Helbo de, Bussons, Cely, Joaquim, Henrique, Ramos, Fernando","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 242-245","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300013&lang=pt" 
"S0073-47212011000200002-scl","Cytogenetic study in natural hybrids of Callithrix (Callitrichidae: Primates) in the Atlantic forest of the state of Rio de Janeiro, Brazil","Nogueira, Denise M., Ferreira, Ana Maria R., Goldschmidt, Beatriz, Pissinatti, Alcides, Carelli, Juliane B., Verona, Carlos E.","Iheringia. Série Zoologia; 101(3); 156-160","Iheringia. Série Zoologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212011000200002&lang=pt" 
"S0073-47212011000200003-scl","Sequência de ossificação do sincrânio e hioide em embriões de Caiman yacare (Crocodylia, Alligatoridae)","Lima, Fabiano C., Santos, André Luiz Q., Vieira, Lucélia G., Coutinho, Marcos E.","Iheringia. Série Zoologia; 101(3); 161-172","Iheringia. Série Zoologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212011000200003&lang=pt" 
"S0073-47212011000200005-scl","Baetidae (Insecta, Ephemeroptera) em córregos do cerrado matogrossense sob diferentes níveis de preservação ambiental","Souza, Hilton M. de L., Cabette, Helena S. R., Juen, Leandro","Iheringia. Série Zoologia; 101(3); 181-190","Iheringia. Série Zoologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212011000200005&lang=pt" 
"S0073-47212011000200008-scl","Descripción del postcráneo de Rhipidomys austrinus y Graomys griseoflavus (Rodentia, Cricetidae, Sigmodontinae)","Carrizo, Luz V., Díaz, Mónica","Iheringia. Série Zoologia; 101(3); 207-219","Iheringia. Série Zoologia","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212011000200008&lang=pt" 
