"S0102-76382010000100001-scl","Tempo de renovação","Braile, Domingo M.","Brazilian Journal of Cardiovascular Surgery; 25(1); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100001&lang=pt" 
"S1516-635X2010000100001-scl","Sources of human non-typhoid salmonellosis: a review","Freitas Neto, OC de, Penha Filho, RAC, Barrow, P, Berchieri Junior, A","Revista Brasileira de Ciência Avícola; 12(1); 01-11","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100001&lang=pt" 
"S0366-69132010000100008-scl","Processo de organofilização de vermiculia brasileira com cloreto de cetiltrimetilamônio","Gomes, E. V. D, Visconte, L. L. Y, Pacheco, E. B. A. V","Cerâmica; 56(337); 44-48","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100008&lang=pt" 
"S0004-27302010000200002-scl","Bone histomorphometry: a concise review for endocrinologists and clinicians","Kulak, Carolina A. Moreira, Dempster, David W.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(2); 87-98","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000200002&lang=pt" 
"S0004-27302010000200003-scl","Bone turnover assessment: a good surrogate marker?","Dreyer, Patrícia, Vieira, José Gilberto H.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(2); 99-105","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000200003&lang=pt" 
"S0004-27302010000200005-scl","Evidence-based non-skeletal actions of vitamin D","Muszkat, Patricia, Camargo, Marilia Brasilio Rodrigues, Griz, Luiz Henrique Maciel, Lazaretti-Castro, Marise","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(2); 110-117","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000200005&lang=pt" 
"S0004-27302010000200007-scl","Osteoporosis and inflammation","Lacativa, Paulo Gustavo Sampaio, Farias, Maria Lucia Fleiuss de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(2); 123-132","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000200007&lang=pt" 
"S0004-27302010000200008-scl","Bone mineral density in HIV-infected women taking antiretroviral therapy: a systematic review","Carvalho, Érico Higino de, Gelenske, Thais, Bandeira, Francisco, Albuquerque, Maria da Fátima Pessoa Militão de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(2); 133-142","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000200008&lang=pt" 
"S0004-27302010000200013-scl","Physical approach for prevention and treatment of osteoporosis","Lirani-Galvão, Ana Paula Rebucci, Lazaretti-Castro, Marise","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(2); 171-178","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000200013&lang=pt" 
"S0004-27302010000200015-scl","Bone quality and osteoporosis therapy","Martin, Regina Matsunaga, Correa, Pedro Henrique S.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(2); 186-199","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000200015&lang=pt" 
"S0103-507X2010000100003-scl","Utilização de sistema fechado para coleta de sangue e necessidade de transfusão em pacientes graves","Rezende, Ederlon, Ferez, Marcus Antonio, Silva Junior, João Manoel da, Oliveira, Amanda Maria Ribas Rosa de, Viana, Renata Andréa Pietro Pereira, Mendes, Ciro Leite, Toledo, Diogo de Oliveira, Ribeiro Neto, Miguel Costa, Setoyama, Tatiane Akemi","Revista Brasileira de Terapia Intensiva; 22(1); 5-10","Revista Brasileira de Terapia Intensiva","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2010000100003&lang=pt" 
"S0103-507X2010000100007-scl","Comparação e efeitos de dois diferentes tempos de oclusão da via aérea durante a mensuração da pressão inspiratória máxima em pacientes neurológicos na unidade de terapia intensiva de pacientes adultos","Pinheiro Filho, Gilvan Reis, Reis, Helena França Correia dos, Almeida, Mônica Lajana de, Andrade, Wandalvo de Souza, Rocha, Rodolfo Leal Sampaio, Leite, Petrônio Andrade","Revista Brasileira de Terapia Intensiva; 22(1); 33-39","Revista Brasileira de Terapia Intensiva","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2010000100007&lang=pt" 
"S0103-507X2010000100008-scl","Efeitos da manobra de hiperinsuflação manual associada à pressão positiva expiratória final em pacientes submetidos à cirurgia de revascularização miocárdica","Santos, Laura Jurema dos, Blattner, Clarissa Netto, Micol, César Augusto Bini, Pinto, Fernanda Abreu Miceli, Renon, Andressa, Pletsch, Renata","Revista Brasileira de Terapia Intensiva; 22(1); 40-46","Revista Brasileira de Terapia Intensiva","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2010000100008&lang=pt" 
