"S0080-62342016000300434-scl","Creation of complexity assessment tool for patients receiving home care","Bôas, Maria Leopoldina de Castro Villas, Shimizu, Helena Eri, Sanchez, Mauro Niskier","Revista da Escola de Enfermagem da USP; 50(3); 434-441","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300434&lang=pt" 
"S1414-98932016000200411-scl","Bebida Alcoólica e Direção Automotiva: Relatos de Policiais Militares Sobre a “Lei Seca”","Nascimento, Andrea dos Santos, Menandro, Paulo Rogério Meira","Psicologia: Ciência e Profissão; 36(2); 411-425","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200411&lang=pt" 
"S1414-98932016000200486-scl","A Escuta Clínica Psicanalítica em uma Instituição Pública: Construindo Espaços","Cazanatto, Elenice, Martta, Margareth Kuhn, Bisol, Claudia Alquati","Psicologia: Ciência e Profissão; 36(2); 486-496","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200486&lang=pt" 
"S1414-98932016000200471-scl","O crescimento da avaliação neuropsicológica no Brasil: uma revisão sistemática","Ramos, Ari Alex, Hamdan, Amer Cavalheiro","Psicologia: Ciência e Profissão; 36(2); 471-485","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200471&lang=pt" 
"S1414-98932016000200317-scl","Da tradição em Psicossomática às Considerações da Daseinsanálise","Mattar, Cristine Monteiro, Feijoo, Ana Maria Lopez Calvo de, Aleixo, Ana Luiza das Chagas, Gomes, Carolina Labanca Marcondes, Aizman, Nathalia Correa, Maués, Paula Zanuto, Gonçalves, Tainá Cordeiro","Psicologia: Ciência e Profissão; 36(2); 317-328","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200317&lang=pt" 
"S1414-98932016000200280-scl","Psicologia e a Formação para a Saúde: Experiências Formativas e Transformações Curriculares em Debate","Pitombeira, Delane Felinto, Xavier, Alessandra Silva, Barroso, Raimunda Eliana Cordeiro, Oliveira, Pedro Renan Santos de","Psicologia: Ciência e Profissão; 36(2); 280-291","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200280&lang=pt" 
"S0004-28032016000200103-scl","AMBULATORY LAPAROSCOPIC CHOLECYSTECTOMY IS SAFE AND COST-EFFECTIVE: a Brazilian single center experience","TEIXEIRA, Uirá Fernandes, GOLDONI, Marcos Bertozzi, MACHRY, Mayara Christ, CECCON, Pedro Ney, FONTES, Paulo Roberto Ott, WAECHTER, Fábio Luiz","Arquivos de Gastroenterologia; 53(2); 103-107","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200103&lang=pt" 
"S1414-98932016000200401-scl","Impacto do Trabalho em Profissionais de Serviços de Saúde Mental em um Município do Nordeste Brasileiro","Moura, Glaudênia Alves, Roncalli, Angelo Giuseppe, Noro, Luiz Roberto Augusto","Psicologia: Ciência e Profissão; 36(2); 401-410","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200401&lang=pt" 
"S1414-98932016000200354-scl","Psicologia e Práticas Restaurativas na Socioeducação: Relato de Experiência","Ferrão, Iara da Silva, Santos, Samara Silva dos, Dias, Ana Cristina Garcia","Psicologia: Ciência e Profissão; 36(2); 354-363","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200354&lang=pt" 
"S1414-98932016000200364-scl","As Contribuições dos Psicólogos para o Matriciamento em Saúde Mental","Iglesias, Alexandra, Avellar, Luziane Zacché","Psicologia: Ciência e Profissão; 36(2); 364-379","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200364&lang=pt" 
"S0004-28032016000200094-scl","COMPARING THE ENZYME REPLACEMENT THERAPY COST IN POST PANCREATECTOMY PATIENTS DUE TO PANCREATIC TUMOR AND CHRONIC PANCREATITIS","FRAGOSO, Anna Victoria, PEDROSO, Martha Regina, HERMAN, Paulo, MONTAGNINI, André Luis","Arquivos de Gastroenterologia; 53(2); 94-97","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200094&lang=pt" 
"S0004-28032016000200098-scl","POSTFUNDOPLICATION DYSPHAGIA CAUSES SIMILAR WATER INGESTION DYNAMICS AS ACHALASIA","DANTAS, Roberto Oliveira, SANTOS, Carla Manfredi, CASSIANI, Rachel Aguiar, ALVES, Leda Maria Tavares, NASCIMENTO, Weslania Viviane","Arquivos de Gastroenterologia; 53(2); 98-102","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200098&lang=pt" 
"S1414-98932016000200389-scl","Novas Modulações do Controle Organizacional: um Estudo de Caso","Perrone, Cláudia Maria, Santos, Anelise Schaurich dos, Sobrosa, Gênesis Marimar Rodrigues, Calvano, Lize Maria Cardoso","Psicologia: Ciência e Profissão; 36(2); 389-400","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200389&lang=pt" 
"S0004-28032016000200068-scl","COLORECTAL CANCER: factors related to late diagnosis in users of the public health system treated at an Universitary Hospital in Curitiba, Paraná State, Brazil","SOUZA, Rosa Helena Silva, MALUF, Eliane Mara Cesário Pereira, SARTOR, Maria Cristina, CARVALHO, Denise Siqueira de","Arquivos de Gastroenterologia; 53(2); 68-75","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200068&lang=pt" 
"S0004-28032016000200113-scl","MOLECULAR DETECTION OF CLARITHROMYCIN AND FLUOROQUINOLONES RESISTANCE IN HELICOBACTER PYLORI INFECTION, DIRECTLY APPLIED TO GASTRIC BIOPSIES, IN AN URBAN BRAZILIAN POPULATION","MARTINS, Gustavo Miranda, SANCHES, Bruno Squárcio Fernandes, MORETZSOHN, Luciana Dias, LIMA, Karine Sampaio, COTA, Bianca Della Croce V, COELHO, Luiz Gonzaga Vaz","Arquivos de Gastroenterologia; 53(2); 113-117","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200113&lang=pt" 
"S0004-28032016000200076-scl","MORTALITY RISK OF COLORECTAL CANCER IN BRAZIL FROM 1980 TO 2013","OLIVEIRA, Ronaldo Coimbra, RÊGO, Marco Antônio Vasconcelos","Arquivos de Gastroenterologia; 53(2); 76-83","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200076&lang=pt" 
"S1414-98932016000200426-scl","“Tá com dó? Leva pra casa!” Análise dos discursos favoráveis à redução da maioridade penal em rede social","Petry, Heloísa, Nascimento, Deise Maria do","Psicologia: Ciência e Profissão; 36(2); 426-438","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200426&lang=pt" 
"S0004-28032016000200084-scl","TRACE ELEMENTS IN PLASMA AND NUTRITIONAL ASSESSMENT IN PATIENTS WITH COMPENSATED CIRRHOSIS ON A LIVER TRANSPLANT LIST","GUERRA, Thays Santana, HOEHR, Nelci Fenalt, BOIN, Ilka de Fátima Santana Ferreira, STUCCHI, Raquel Silveira Bello","Arquivos de Gastroenterologia; 53(2); 84-88","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200084&lang=pt" 
"S1413-70542016000300337-scl","Study of costs and revenue from the production and practice laboratories of the Federal Institute of Science and Technology of Minas Gerais - Campus Bambuí","Corrêa, Uellington, Benedicto, Gideon Carvalho de, Carvalho, Francisval de Melo, Campos, Renato Silvério, Lopes, Marcos Aurélio, Ribeiro, Bruna Pontara Vilas Boas","Ciência e Agrotecnologia; 40(3); 337-346","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000300337&lang=pt" 
"S1413-70542016000300305-scl","Nitrate and potassium concentration in fertigated soil cultivated with wine vines","Silva, Alexsandro Oliveira da, Silva, Davi José, Bassoi, Luis Henrique","Ciência e Agrotecnologia; 40(3); 305-316","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000300305&lang=pt" 
"S1414-98932016000200255-scl","Concepções e Práticas de Psicólogos Escolares e Docentes acerca da Inclusão Escolar","Braz-Aquino, Fabíola de Sousa, Ferreira, Ingrid Rayssa Lucena, Cavalcante, Lorena de Almeida","Psicologia: Ciência e Profissão; 36(2); 255-266","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200255&lang=pt" 
"S1414-98932016000200439-scl","Produção Científica sobre o Teste Desenho da Figura Humana entre 2002 e 2012","Suehiro, Adriana Cristina Boulhoça, Benfica, Taiane de Souza, Cardim, Nemeia Aiêxa","Psicologia: Ciência e Profissão; 36(2); 439-448","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200439&lang=pt" 
