"S0100-736X2012001000004-scl","Distribuição e identificação das regiões de risco para a cisticercose bovina no estado do Paraná","Guimarães-Peixoto, Rafaella P.M., Souza, Valmir K., Pinto, Paulo S.A., Santos, Tatiane O.","Pesquisa Veterinária Brasileira; 32(10); 975-979","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000004&lang=pt" 
"S0036-36342012000500005-spa","Older adults under a mixed regime of infectious and chronic diseases","Samper-Ternent, Rafael, Michaels-Obregon, Alejandra, Wong, Rebeca, Palloni, Alberto","Salud Pública de México; 54(5); 487-495","Salud Pública de México","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500005&lang=pt" 
"S0036-36342012000500004-spa","Desarrollo de un cuestionario didáctico para conocer la ingestión de verduras y frutas de niños en el receso escolar: estudio piloto","Medina, Catalina, Villanueva-Borbolla, Montserrat, Barquera, Simón","Salud Pública de México; 54(5); 479-486","Salud Pública de México","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500004&lang=pt" 
"S0100-879X2012001000006-scl","Effect of different durations of overdistention on rat bladder function and morphology","Jin, Xiao-Dong, Cao, Min, Zhou, Xie-Lai, Yin, Hong-Ping, Chen, Zhao-Dian, Xu, Ning, Jiang, Hai","Brazilian Journal of Medical and Biological Research; 45(10); 921-928","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000006&lang=pt" 
"S0100-879X2012001000004-scl","Silencing HIF-1α reduces the adhesion and secretion functions of acute leukemia hBMSCs","Dong-Feng, Zeng, Ting, Liu, Cheng, Chang, Xi, Zhang, Xue, Liang, Xing-Hua, Chen, Pei-Yan, Kong","Brazilian Journal of Medical and Biological Research; 45(10); 906-912","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000004&lang=pt" 
"S0100-879X2012001000009-scl","Prolonged acceptance of skin grafts induced by B cells places regulatory T cells on the histopathology scene","Langier, S., Galvani, R.G., Alves, A.P.G., Fidelis, R., Nunes, P.H.C., Silva, M.H., Castilho, L.R., Monteiro, J.P., Bonomo, A.","Brazilian Journal of Medical and Biological Research; 45(10); 942-947","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000009&lang=pt" 
"S0100-879X2012001000007-scl","Reversal of the anticoagulant and anti-hemostatic effect of low molecular weight heparin by direct prothrombin activation","Andrade, S.A., Carrijo-Carvalho, L.C., Peceguini, L.A.M., Wlian, L., Sato, A.C., Luchiari, C., Silva, E.D., Maffei, F.H.A., Chudzinski-Tavassi, A.M.","Brazilian Journal of Medical and Biological Research; 45(10); 929-934","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000007&lang=pt" 
"S0100-879X2012001000012-scl","Decreased levels of pNR1 S897 protein in the cortex of neonatal Sprague Dawley rats with hypoxic-ischemic or NMDA-induced brain damage","Hei, Ming-Yan, Tao, Hui-Kang, Tang, Qin, Yu, Bo, Zhao, Ling-Ling","Brazilian Journal of Medical and Biological Research; 45(10); 962-967","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000012&lang=pt" 
"S0100-879X2012001000015-scl","Behavioral meaningful opioidergic stimulation activates kappa receptor gene expression","Teodorov, E., Ferrari, M.F.R., Fior-Chadi, D.R., Camarini, R., Felício, L.F.","Brazilian Journal of Medical and Biological Research; 45(10); 982-987","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000015&lang=pt" 
"S0100-879X2012001000001-scl","Protein turnover, amino acid requirements and recommendations for athletes and active populations","Poortmans, J.R., Carpentier, A., Pereira-Lancha, L.O., Lancha Jr., A.","Brazilian Journal of Medical and Biological Research; 45(10); 875-890","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000001&lang=pt" 
"S0102-311X2012001000022-scl","","","Cadernos de Saúde Pública; 28(10); 2015-2015","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000022&lang=pt" 
"S0102-311X2012001000001-scl","Vinte anos de editoria","Coimbra Jr, Carlos E. A.","Cadernos de Saúde Pública; 28(10); 1820-1820","Cadernos de Saúde Pública","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000001&lang=pt" 
"S0102-311X2012001000019-scl","Pesticide exposure and poor pregnancy outcomes: weaknesses of the evidence","Paumgartten, Francisco José Roma","Cadernos de Saúde Pública; 28(10); 2009-2012","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000019&lang=pt" 
"S0102-311X2012001000018-scl","HRWeb Americas: a tool to facilitate better research governance in Latin America and the Caribbean","Villanueva, Eleana C., Abreu, David Ribeiro de, Cuervo, Luis Gabriel, Becerra-Posada, Francisco, Reveiz, Ludovic, IJsselmuiden, Carel","Cadernos de Saúde Pública; 28(10); 2003-2008","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000018&lang=pt" 
"S0102-311X2012001000017-scl","Equivalências semântica e de itens da edição em português do Vécu et Santé Perçue de l&#039;Adolescent: questionário de avaliação da qualidade de vida do adolescente","Aires, Mariana Tschoepke, Werneck, Guilherme Loureiro","Cadernos de Saúde Pública; 28(10); 1993-2001","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000017&lang=pt" 
"S0102-311X2012001000016-scl","Versão brasileira do Instrumento de Avaliação da Dor em Paciente Não Comunicativo (NOPPAIN): equivalência conceitual, de itens e semântica","De Araujo, Raquel Soares, Pereira, Lilian Varanda","Cadernos de Saúde Pública; 28(10); 1985-1992","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000016&lang=pt" 
"S0102-311X2012001000021-scl","Humanização, gênero e poder: contribuições dos estudos de fala-em-interação para a atenção à saúde","Silva, Juliana","Cadernos de Saúde Pública; 28(10); 2013-2014","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000021&lang=pt" 
"S0102-311X2012001000020-scl","Dengue infection and maternal mortality","Wiwanitkit, Viroj","Cadernos de Saúde Pública; 28(10); 2012-2012","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000020&lang=pt" 
"S0103-84782012001000007-scl","Alelopatia de duas espécies de braquiária em sementes de três espécies de estilosantes","Rodrigues, Adriana Paula D&#039;Agostini Contreiras, Laura, Valdemir Antônio, Pereira, Silvia Rahe, Deiss, Caroline","Ciência Rural; 42(10); 1758-1763","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000007&lang=pt" 
"S0100-39842012000500016-scl","Recanalização da artéria tibial anterior via artéria pediosa: relato de caso","Farret Neto, Abdo, Faria, Eduardo Dantas Baptista de, Pantaleo, Ernesto, Alencar, Marcelo José Carlos, Andrade, George Anderson da Penha, Lima, Célia Maria Guedes de","Radiologia Brasileira; 45(5); 302-304","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500016&lang=pt" 
"S0100-39842012000500015-scl","Rânula congênita: diagnóstico ultrassonográfico antenatal","Rios, Livia Teresa Moreira, Araujo Júnior, Edward, Nardozza, Luciano Marcondes Machado, Moron, Antonio Fernandes, Martins, Marília da Glória","Radiologia Brasileira; 45(5); 300-301","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500015&lang=pt" 
"S0100-39842012000500014-scl","Calcificação pulmonar metastática: relato de caso","Bozi, Lilian Christine Franchiotti, Melo, Alessandro Severo Alves de, Marchiori, Edson","Radiologia Brasileira; 45(5); 297-299","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500014&lang=pt" 
"S0100-39842012000500003-scl","","Iyeyasu, Josie Naomi, Silva Júnior, Nivaldo Adolfo, Bertanha, Renata, Carvalho, Keila Monteiro de, Reis, Fabiano","Radiologia Brasileira; 45(5); XIII-XIV","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500003&lang=pt" 
"S0100-39842012000500001-scl","Radiologia pediátrica: quando o diagnóstico deve ser &quot;amigo&quot; da criança","Valente, Marcelo, Oliveira, Luiz Antonio Nunes de, Carneiro-Sampaio, Magda","Radiologia Brasileira; 45(5); V-V","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500001&lang=pt" 
"S0100-39842012000500002-scl","Por que parte da especialidade está sendo relegada a segundo plano dentro do diagnóstico por imagem?","Carvalho, Antonio Carlos Pires","Radiologia Brasileira; 45(5); VII-VIII","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500002&lang=pt" 
"S0100-39842012000500013-scl","Regressão espontânea de proteinose alveolar pulmonar: relato de caso","Souza, Rodrigo Canellas de, Kanaan, Daniel, Martins, Pedro Henrique Rodrigues, Vianna, Guilherme Abdalla Gavinho, Amorim, Viviane Brandão, Marchiori, Edson","Radiologia Brasileira; 45(5); 294-296","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500013&lang=pt" 
"S0100-39842012000500012-scl","Neurocisticercose nodular calcificada com sinais de reativação","Coeli, Gustavo Nunes Medina, Tiengo, Rodrigo Ribeiro, Silva, Afonso Carlos da, Fernandes, José Otávio Meyer, Silva, Guilherme Carlos da, Silva, Leandro Urquiza Marques Alves da","Radiologia Brasileira; 45(5); 291-293","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500012&lang=pt" 
"S0100-39842012000500011-scl","Glioma cordoide do terceiro ventrículo: descrição de um novo caso","Sanches, Patrícia, Yamashita, Seizo, Freitas, Carlos Clayton Macedo de, Resende, Luiz Antonio de Lima","Radiologia Brasileira; 45(5); 288-290","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500011&lang=pt" 
"S0100-39842012000500009-scl","Gravidez ectópica: ensaio iconográfico com enfoque em achados de tomografia computadorizada e ressonância magnética","Febronio, Eduardo Miguel, Rosas, George de Queiroz, Cardia, Patrícia Prando, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 45(5); 279-282","Radiologia Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842012000500009&lang=pt" 
"S0103-17592012000500011-scl","Redes neurais artificiais para engenharia e ciências aplicadas: curso prático","Gomide, Fernando A.","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(5); 649-652","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000500011&lang=pt" 
"S0102-311X2012001000020-spa","Dengue infection and maternal mortality","Wiwanitkit, Viroj","Cadernos de Saúde Pública; 28(10); 2012-2012","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000020&lang=pt" 
"S0102-311X2012001000022-spa","","","Cadernos de Saúde Pública; 28(10); 2015-2015","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000022&lang=pt" 
