"S0074-02762016000700450-scl","Highly active ozonides selected against drug resistant malaria","Lobo, Lis, Sousa, Bruno de, Cabral, Lília, Cristiano, Maria LS, Nogueira, Fátima","Memórias do Instituto Oswaldo Cruz; 111(7); 450-453","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700450&lang=pt" 
"S1413-81232016000702051-spa","Health issues of incarcerated women in the United States","Mignon, Sylvia","Ciência &amp; Saúde Coletiva; 21(7); 2051-2060","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702051&lang=pt" 
"S1413-81232016000702089-spa","O impacto da prisão na saúde mental dos presos do estado do Rio de Janeiro, Brasil","Constantino, Patricia, Assis, Simone Gonçalves de, Pinto, Liana Wernersbach","Ciência &amp; Saúde Coletiva; 21(7); 2089-2100","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702089&lang=pt" 
"S1413-81232016000702233-spa","Adaptação cultural para o Brasil da escala Tuberculosis-related stigma","Crispim, Juliane de Almeida, Touso, Michelle Mosna, Yamamura, Mellina, Popolin, Marcela Paschoal, Garcia, Maria Concebida da Cunha, Santos, Cláudia Benedita dos, Palha, Pedro Fredemir, Arcêncio, Ricardo Alexandre","Ciência &amp; Saúde Coletiva; 21(7); 2233-2242","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702233&lang=pt" 
"S1413-81232016000702257-spa","Stunting in children under five years old is still a health problem in the Western Brazilian Amazon: a population-based study in Assis Brasil, Acre, Brazil","Mantovani, Saulo Augusto Silva, Ramalho, Alanderson Alves, Pereira, Thasciany Moraes, Branco, Fernando Luiz Cunha Castelo, Oliart-Guzmán, Humberto, Delfino, Breno Matos, Braña, Athos Muniz, Martins, Antonio Camargo, Filgueira-Júnior, José Alcântara, Santos, Ana Paula, Campos, Rhanderson Gardinali, Guimarães, Andréia Silva, Araújo, Thiago Santos de, Oliveira, Cristieli Sérgio de Menezes, Codeço, Cláudia Torres, Silva-Nunes, Mônica da","Ciência &amp; Saúde Coletiva; 21(7); 2257-2266","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702257&lang=pt" 
"S0122-06672016000200002-col","Cumplimiento en la notificación de casos probables de dengue en el Área Metropolitana Centro Occidente de Colombia en el año 2014","Moreno Gomez, Germán Alberto, Moreno Gómez, Jhon Gerardo, Cabezas Restrepo, Ángela María, MúneraBenavides, Juan Esteban, Ocampo Alzate, Katherin Paola, Moreno Villegas, Valentina","Revista Médica de Risaralda; 22(2); 75-78","Revista Médica de Risaralda","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-06672016000200002&lang=pt" 
"S0122-06672016000200004-col","Características epidemiológicas y clínicas de la leishmaniasis visceral en Paraguay de enero de 2008 a diciembre de 2014","Rios-González, Carlos Miguel, Molinas Gómez, Sandra Karina, Gómez López, Fredy Osmar, Florentin Quintana, DaisyMonserrat, Sigmund Britez, Claudia Jazmin, Azuaga Franco, Herminia María de las Nieves, Canese-Krivoshein, Pedro Andres","Revista Médica de Risaralda; 22(2); 83-86","Revista Médica de Risaralda","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-06672016000200004&lang=pt" 
"S1413-81232016000702319-scl","Errata","","Ciência &amp; Saúde Coletiva; 21(7); 2319-2319","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702319&lang=pt" 
"S1413-81232016000702317-spa","Saúde penitenciária no Brasil: plano e política","Larouzé, Bernard","Ciência &amp; Saúde Coletiva; 21(7); 2317-2317","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702317&lang=pt" 
"S1413-81232016000701996-scl","Realidade e desafios da saúde nas prisões","Sánchez, Alexandra, Leal, Maria de Carmo, Larouzé, Bernard","Ciência &amp; Saúde Coletiva; 21(7); 1996-1996","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000701996&lang=pt" 
"S1413-81232016000702319-spa","Errata","","Ciência &amp; Saúde Coletiva; 21(7); 2319-2319","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702319&lang=pt" 
"S1413-81232016000702315-scl","Deserdados sociais: condições de vida e saúde dos presos do estado do Rio de Janeiro. Rio de Janeiro","Barsaglini, Reni","Ciência &amp; Saúde Coletiva; 21(7); 2315-2316","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702315&lang=pt" 
